normalized_brand,brand_family,current_company_owner,proposed_company_owner,proposed_action,proposal_reason,query_category,primary_country,observed_market_region_codes,product_count,legacy_primary_brand_examples,brand_entity_raw_examples,brand_entity_source_examples,brand_alias_source_examples,brand_alias_review_status_examples,example_product_names,example_off_brands_raw,example_image_urls,example_barcodes,julia_decision,julia_company_override,julia_note
paturages,paturages,Manual review,Intermarché / Les Mousquetaires,map_to_company,obvious Intermarché private-label line,dairies,Belgium,BENELUX|FRANCE,21,paturages,paturages,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Fromage blanc 8% de matière grasse | Fromage blanc 0% de matière grasse | Emmental français râpé | Lait Demi Ecrémé Pâturages | Naturais 150g,"Pâturages | Paturages | Pâturages, Sélection Intermarché | Paturages, Sélection Intermarché | Pâturages, Intermarché",https://images.openfoodfacts.org/images/products/325/039/000/7395/front_fr.43.400.jpg | https://images.openfoodfacts.org/images/products/325/039/001/0098/front_fr.46.400.jpg | https://images.openfoodfacts.org/images/products/325/039/001/0258/front_fr.66.400.jpg | https://images.openfoodfacts.org/images/products/325/039/015/3498/front_fr.15.400.jpg | https://images.openfoodfacts.org/images/products/325/039/025/3129/front_fr.41.400.jpg,3250390007395 | 3250390010098 | 3250390010258 | 3250390153498 | 3250390253129,,,
Kellogg's,Kellogg's,Manual review,Other / not mapped to a company,replace_with_other,Kellogg/Kellanova/WK Kellogg ownership is complex; avoid Manual review label by using Other for launch,snacks,France,FRANCE|US_CANADA,21,kellogg's,kellogg's,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,"grahams Bug Bites Cinnamon | Kellogg'S Special K Cereal Bars Red Berries .88Oz | Toaster pastries, frosted chocolatey caramel | Crispy marshmallow squares bars | Rice Krispies m&m's","Kellogg's | Kellogg's, pop-tarts | Kellogg's, Nutrigrain",https://images.openfoodfacts.org/images/products/003/010/055/8569/front_en.12.400.jpg | https://images.openfoodfacts.org/images/products/003/800/012/4211/front_en.11.400.jpg | https://images.openfoodfacts.org/images/products/003/800/012/9667/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/003/800/015/1125/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/003/800/015/1132/front_en.14.400.jpg,30100558569 | 38000124211 | 38000129667 | 38000151125 | 38000151132,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,snacks,United States,US_CANADA,20,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,"Cakebites sweet lemon layers cakebites | Croissant | Starbucks, peppermint cookie chocolate bites | Starbucks, chocolate caramel hearts | Starbucks, holiday jelly candy","Starbucks | Starbucks, Starbucks Coffee Company",https://images.openfoodfacts.org/images/products/003/769/518/5354/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/005/254/806/6666/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/076/211/112/6719/front_en.7.400.jpg | https://images.openfoodfacts.org/images/products/076/211/114/4355/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/076/211/122/5016/front_en.23.400.jpg,37695185354 | 52548066666 | 762111023575 | 762111049520 | 762111105776,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,beverages,United Kingdom,UK_IE,19,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Chai | Ginger shot | Raspberry Lemonade | Frappuccino vanille | Oat based vanilla macchiato,Starbucks | STARBUCKS,https://images.openfoodfacts.org/images/products/405/227/549/3793/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/505/623/860/0630/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/505/623/860/0708/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/506/759/669/0003/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/571/195/311/8463/front_en.3.400.jpg,4052275493793 | 5056238600630 | 5056238600708 | 5067596690003 | 5711953118463,,,
Crunch,Crunch,Manual review,Other / not mapped to a company,replace_with_other,no conservative launch owner proposal; replace Manual review with Other unless Julia assigns a company,snacks,France,FRANCE,18,nestle | crunch,Crunch | crunch,product_name_recovery_nestle_france_snacks | existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,Barre Glacée Crunch | Barre crunch glacée | Crunch Snack | Berry Crunch Flavour Bar | Crunch snack,"Nestlé | Nestlé,Optifast | Nestlé, Crunch, Crunch blanc | Nestlé, Crunch | Nestlé,Crunch",https://images.openfoodfacts.org/images/products/327/466/498/8067/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/357/675/003/2044/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/000/737/0793/front_en.12.400.jpg | https://images.openfoodfacts.org/images/products/761/303/241/3491/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/761/303/242/7313/front_fr.20.400.jpg,3274664088064 | 3274664988067 | 3576750032044 | 7370793 | 7613032413491,,,
Cadbury,Cadbury,Manual review,Other / not mapped to a company,replace_with_other,mixed US/non-US Cadbury scope; use Other unless manually split later,snacks,United Kingdom,UK_IE|US_CANADA,16,cadbury | mondelez,Cadbury,existing_company_brand_mapping_token_match | top9_portfolio_token_match,curated_mechanical_brand_alias,confirmed,Picnic | Cadbury dairy milk chocolate egg eggheads | Caramel egg | Dairy Milk Freddo Chocolate Bar 6 Pack | Cadbury dairy milk chocolate bar lu sweet biscuits,"Cadbury | Cadbury,Lu | Mondelez, Cadbury",https://images.openfoodfacts.org/images/products/500/031/200/2131/front_en.55.400.jpg | https://images.openfoodfacts.org/images/products/000/005/010/5038/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/000/005/020/1969/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/503/466/052/2232/front_en.16.400.jpg | https://images.openfoodfacts.org/images/products/762/221/017/9418/front_en.7.400.jpg,5000312002131 | 50105038 | 50201969 | 5034660522232 | 7622210179418,,,
Fitness,Fitness,Manual review,Other / not mapped to a company,replace_with_other,no conservative launch owner proposal; replace Manual review with Other unless Julia assigns a company,cereals,France,FRANCE,16,nestle | fitness,Fitness,top9_portfolio_token_match | existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,Fitness Croquant d'Avoine - Pépites croustillantes d'avoine au bon goût de miel | Fitness Croquant d'avoine | Fitness Bio | Fitness nutritious energy CHOCOLATE | Nestle fitness honey and almond,"Nestlé, Fitness | Fitness",https://images.openfoodfacts.org/images/products/200/000/006/4050/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/000/003/503/3141/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/439/083/447/9483/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/0932/front_en.25.400.jpg | https://images.openfoodfacts.org/images/products/761/303/230/9459/front_fr.13.400.jpg,2000000064050 | 35033141 | 4390834479483 | 5900020020932 | 7613032309459,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,dairies,France,FRANCE,16,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Caffe latte | MACCHIATO NOISETTTE | Vegan Stracciatella | Starbucks discoveries - chai tea latte | Skinny latte,Starbucks,https://images.openfoodfacts.org/images/products/410/029/005/6490/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/410/029/005/6612/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/425/095/011/8768/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/571/195/302/3675/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/571/195/306/7648/front_fr.3.400.jpg,4100290056490 | 4100290056612 | 4250950118768 | 5711953023675 | 5711953067648,,,
leclerc,leclerc,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc retailer/private-label banner,snacks,United States,US_CANADA,13,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Pattes d’ours | Chouquettes | Macaron | Eclair au chocolat | Pain chocolat,Leclerc,https://images.openfoodfacts.org/images/products/020/208/901/0820/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/006/404/210/3396/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/006/404/255/1012/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/006/404/255/8059/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/006/404/255/8080/front_en.7.400.jpg,201940016339 | 202089010820 | 204649021659 | 206114013053 | 209161033456,,,
Fitness,Fitness,Manual review,Other / not mapped to a company,replace_with_other,no conservative launch owner proposal; replace Manual review with Other unless Julia assigns a company,snacks,France,FRANCE,13,fitness | nestle,Fitness,existing_company_brand_mapping_token_match | product_name_recovery_nestle_france_snacks | top9_portfolio_token_match,curated_mechanical_brand_alias,confirmed,Granola bar | Fitness chocolat au lait | Barres Fitness Chocolat Blanc | Fitness crunchy caramel | Barre de céréales Fitness Crunchy Caramel,"Fitness, Hema | Nestlé | Nestlé, Fitness | Nestlé, Fitness, Fitness Délice | Fitness",https://images.openfoodfacts.org/images/products/201/157/049/9994/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/590/002/001/0261/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/590/002/001/2012/front_fr.7.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/2370/front_fr.14.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/3377/front_it.18.400.jpg,2011570499994 | 5900020010261 | 5900020012012 | 5900020022370 | 5900020023377,,,
Crunch,Crunch,Manual review,Other / not mapped to a company,replace_with_other,no conservative launch owner proposal; replace Manual review with Other unless Julia assigns a company,cereals,France,FRANCE,11,nestle | crunch,crunch,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,CRUNCH Céréales | Crunch céréales | Crunch (+50% gratuit) | NESTLE CRUNCH Céréales 450g | NESTLE CRUNCH Céréales Petit Déjeuner 3x450g,"Nestlé, CRUNCH, Cereal Partners | Crunch | Nestlé, Crunch",https://images.openfoodfacts.org/images/products/338/739/032/0084/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/338/739/082/0089/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/761/303/474/5255/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/761/303/518/9027/front_en.142.400.jpg | https://images.openfoodfacts.org/images/products/761/303/519/8203/front_fr.14.400.jpg,3387390320084 | 3387390820089 | 7613034745255 | 7613035189027 | 7613035198203,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,France,FRANCE|UK_IE,11,lipton,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Peach Iced Tea | Lipton Raspberry ice tea | Lemon Ice Tea | Mango Ice Tea | Thé noir vanille caramel,"Lipton | Lipton, Waitrose",https://images.openfoodfacts.org/images/products/406/080/016/8344/front_en.20.400.jpg | https://images.openfoodfacts.org/images/products/406/080/017/1047/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/500/011/804/7794/front_en.33.400.jpg | https://images.openfoodfacts.org/images/products/500/011/806/1905/front_en.24.400.jpg | https://images.openfoodfacts.org/images/products/506/327/010/4873/front_en.3.400.jpg,4060800168344 | 4060800171047 | 5000118047794 | 5000118061905 | 5063270104873,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,Belgium,BENELUX|FRANCE|DACH,10,lipton | exclusive selection | cuveco as,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Lipton Thé Vert Menthe Intense 20 Sachets | saveur pêche ici tea | Sparkling Ice Tea | Infusion bio citron gingembre | Yellow label tea,"Lipton, Unilever | Lipton | Exclusive Selection, Lipton | CUVECO AS, Lipton",https://images.openfoodfacts.org/images/products/322/888/101/1138/front_fr.110.400.jpg | https://images.openfoodfacts.org/images/products/322/888/603/0011/front_fr.195.400.jpg | https://images.openfoodfacts.org/images/products/541/003/382/0707/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/871/120/037/3505/front_fr.14.400.jpg | https://images.openfoodfacts.org/images/products/871/210/036/9278/front_fr.5.400.jpg,3228881011138 | 3228886030011 | 5410033820707 | 8711200373505 | 8712100369278,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,United Kingdom,UK_IE,10,lipton,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Lemon Ice Tea | IT Mango | Kombucha | Peach Ice Tea | Green ice tea mint&lemon,Lipton,https://images.openfoodfacts.org/images/products/406/080/016/7064/front_en.25.400.jpg | https://images.openfoodfacts.org/images/products/406/213/901/5283/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/500/011/804/7817/front_en.45.400.jpg | https://images.openfoodfacts.org/images/products/501/010/224/0100/front_en.13.400.jpg | https://images.openfoodfacts.org/images/products/506/327/012/6158/front_en.4.400.jpg,4060800167064 | 4062139015283 | 4062139019076 | 5000118047817 | 5010102240100,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,snacks,France,FRANCE,10,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Signature chocolate | Madeleines | Chocolat au lait | Sucette Chocolat | Cookie Straws,Starbucks,https://images.openfoodfacts.org/images/products/000/000/113/0393/front_fr.12.400.jpg | https://images.openfoodfacts.org/images/products/317/853/042/1941/front_en.13.400.jpg | https://images.openfoodfacts.org/images/products/076/211/108/0738/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/076/211/118/5587/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/076/211/130/2151/front_fr.4.400.jpg,1130393 | 3178530421941 | 762111080738 | 762111185587 | 762111302151,,,
Chocapic,Chocapic,Manual review,Cereal Partners Worldwide,map_to_company,Nestlé cereal brand handled via CPW,snacks,France,FRANCE,9,nestle | chocapic,Chocapic,top9_portfolio_token_match | existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,Chocapic Barres | Barre Chocapic | Chocapic | NESTLE CHOCAPIC Barres de Céréales 12x25g | Présentoir Barres CHOCAPIC 25gx24,"Nestlé, Chocapic | Chocapic, Nestlé | CHOCAPIC",https://images.openfoodfacts.org/images/products/590/002/001/2616/front_fr.11.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/7207/front_fr.13.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/7771/front_fr.8.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/8778/front_fr.217.400.jpg | https://images.openfoodfacts.org/images/products/590/002/003/0733/front_fr.105.400.jpg,5900020012616 | 5900020027207 | 5900020027771 | 5900020028778 | 5900020030733,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,snacks,Algeria,FRANCE,8,marque repere | ptit deli,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Barre fruits rouges x 6 | Palmiers nappe chocolat lait | La Gaufrette Praliné noisette | Cookies premium coeur fondant à la noisette | Sablé céréales P'tit Déli Chocolat au lait pocket,"Marque Repère, P'tit Déli | P'tit Déli, Marque Repère | Marque Repère, Leclerc, P'tit Déli | Marque Repère,P'tit Déli",https://images.openfoodfacts.org/images/products/356/470/043/8671/front_fr.17.400.jpg | https://images.openfoodfacts.org/images/products/356/470/052/1274/front_fr.23.400.jpg | https://images.openfoodfacts.org/images/products/356/470/054/3412/front_fr.82.400.jpg | https://images.openfoodfacts.org/images/products/356/470/056/4431/front_fr.43.400.jpg | https://images.openfoodfacts.org/images/products/356/470/066/1383/front_fr.22.400.jpg,3564700438671 | 3564700521274 | 3564700543412 | 3564700564431 | 3564700661383,,,
paturages,paturages,Manual review,Intermarché / Les Mousquetaires,map_to_company,obvious Intermarché private-label line,dairies,France,FRANCE|SOUTHERN_EUROPE,8,paturages,paturages,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Coulommiers | Camembert | Fleur d'Ange | Emmental français râpé - 210g ( | Yaourt Etuve nature NATUREA X4,Páturages | Pâturages,https://images.openfoodfacts.org/images/products/325/039/001/0227/front_fr.81.400.jpg | https://images.openfoodfacts.org/images/products/325/039/001/0586/front_fr.103.400.jpg | https://images.openfoodfacts.org/images/products/325/039/001/1231/front_fr.67.400.jpg | https://images.openfoodfacts.org/images/products/325/039/001/1613/front_fr.36.400.jpg | https://images.openfoodfacts.org/images/products/325/039/001/2429/front_fr.79.400.jpg,3250390010227 | 3250390010586 | 3250390011231 | 3250390011613 | 3250390012429,,,
Cadbury,Cadbury,Manual review,Other / not mapped to a company,replace_with_other,mixed US/non-US Cadbury scope; use Other unless manually split later,snacks,Canada,US_CANADA|FRANCE,8,cadbury,Cadbury,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,Crispy Crunch | Wunderbar | Wunderbar Minis | Creamy Salted Caramel Dairy Milk | Cadbury mini eggs,Cadbury | cadbury,https://images.openfoodfacts.org/images/products/006/120/000/2423/front_en.15.400.jpg | https://images.openfoodfacts.org/images/products/006/120/000/3499/front_en.13.400.jpg | https://images.openfoodfacts.org/images/products/006/120/001/2187/front_en.14.400.jpg | https://images.openfoodfacts.org/images/products/006/120/001/6130/front_en.28.400.jpg | https://images.openfoodfacts.org/images/products/006/120/006/8337/front_fr.3.400.jpg,61200002423 | 61200003499 | 61200012187 | 61200016130 | 61200068337,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,Australia,FRANCE,8,lipton,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Lipton Tea Bags Quality Black | Peach Flavour Ice Tea | Lemon Ice Tea | Lipton Peach Ice Tea | Ice tea light,Lipton,https://images.openfoodfacts.org/images/products/628/100/686/8656/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/931/002/103/9035/front_en.43.400.jpg | https://images.openfoodfacts.org/images/products/931/002/103/9097/front_en.25.400.jpg | https://images.openfoodfacts.org/images/products/931/002/103/9202/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/931/002/104/1205/front_fr.4.400.jpg,6281006868656 | 9310021039035 | 9310021039080 | 9310021039097 | 9310021039202,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,beverages,France,FRANCE|US_CANADA,8,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,"DOUBLESHOT ENERGY ENERGY COFFEE BEVERAGE | White Chocolate Mocha | Sparkling juice blend | Vanilla honey flavored coffee smoothie with almondmilk, vanilla honey | Vanilla Latte",STARBUCKS | Starbucks,https://images.openfoodfacts.org/images/products/001/200/002/8496/front_en.55.400.jpg | https://images.openfoodfacts.org/images/products/001/200/015/1095/front_en.25.400.jpg | https://images.openfoodfacts.org/images/products/001/200/015/1668/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/001/200/017/2601/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/004/850/020/1312/front_en.54.400.jpg,12000028496 | 12000151095 | 12000151668 | 12000172601 | 48500201312,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,snacks,France,FRANCE|DACH,7,marque repere | ptit deli,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Le Petit Beurre | Chocolat dessert pâtissier | Tablette d'OR - Blanc - Noix de Coco | La Génoise - Goût Framboise Cassis | Coffret Snacks,"Marque Repère,P'tit Déli | Marque Repere | Marque Repère, Tablette d'Or | P'tit Déli, Marque Repère, Griesson - de Beukelaer | Marque Repère, Tokapi",https://images.openfoodfacts.org/images/products/356/470/000/9505/front_fr.42.400.jpg | https://images.openfoodfacts.org/images/products/356/470/001/0846/front_fr.92.400.jpg | https://images.openfoodfacts.org/images/products/356/470/043/5014/front_fr.42.400.jpg | https://images.openfoodfacts.org/images/products/356/470/052/9386/front_fr.97.400.jpg | https://images.openfoodfacts.org/images/products/356/470/055/9307/front_fr.28.400.jpg,3564700009505 | 3564700010846 | 3564700435014 | 3564700529386 | 3564700559307,,,
Fitness,Fitness,Manual review,Other / not mapped to a company,replace_with_other,no conservative launch owner proposal; replace Manual review with Other unless Julia assigns a company,snacks,France,FRANCE|SOUTHERN_EUROPE,7,fitness | nestle,Fitness,existing_company_brand_mapping_token_match | top9_portfolio_token_match | product_name_recovery_nestle_france_snacks,curated_mechanical_brand_alias,confirmed,Nestlé Fitness Cereal Bar Strawberry | fitness | Chocolate fitness | Nestlé Fitness 8X23.5G Suklaa Viljavälipalapatukka | Fitness,"Fitness | fitness | Nestlé, Fitness | Nestlé | Nestle",https://images.openfoodfacts.org/images/products/338/739/032/0350/front_fr.12.400.jpg | https://images.openfoodfacts.org/images/products/338/739/032/0374/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/590/002/001/2654/front_it.18.400.jpg | https://images.openfoodfacts.org/images/products/590/002/001/9684/front_es.17.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/5210/front_fr.19.400.jpg,3387390320350 | 3387390320374 | 5900020012654 | 5900020019684 | 5900020025210,,,
Kellogg's,Kellogg's,Manual review,Other / not mapped to a company,replace_with_other,Kellogg/Kellanova/WK Kellogg ownership is complex; avoid Manual review label by using Other for launch,cereals,Canada,US_CANADA|FRANCE,7,kellogg's,kellogg's,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,All-Bran Buds | Special K Originales | Corn Flakes Céréales | Froot Loops | Brown Sugar Flavour Mini-Wheats,"Kellogg's | Kellogg's, Special K",https://images.openfoodfacts.org/images/products/000/000/640/7014/front_en.42.400.jpg | https://images.openfoodfacts.org/images/products/006/410/010/6215/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/006/410/010/8172/front_fr.8.400.jpg | https://images.openfoodfacts.org/images/products/006/410/044/8889/front_fr.27.400.jpg | https://images.openfoodfacts.org/images/products/006/410/059/0106/front_en.46.400.jpg,6407014 | 64100106215 | 64100108172 | 64100448889 | 64100590106,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,beverages,France,FRANCE|BENELUX,7,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,STARBUCKS By Nespresso Espresso Roast Décaféiné 10 capsules | STARBUCKS Toffee Nut 51g | STARBUCKS By NESPRESSO House Blend (18 capsules) | STARBUCKS By NESPRESSO House Blend 10 capsules | STARBUCKS By NESPRESSO Espresso Roast X18,"Starbucks | STARBUCKS, by NESPRESSO",https://images.openfoodfacts.org/images/products/761/303/696/1820/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/844/529/045/2900/front_fr.56.400.jpg | https://images.openfoodfacts.org/images/products/844/529/136/2468/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/844/529/136/3748/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/844/529/136/4394/front_fr.6.400.jpg,7613036961820 | 8445290452900 | 8445291362468 | 8445291363748 | 8445291364394,,,
kettle brand,kettle brand,Manual review,Campbell Soup Company,map_to_company,known Kettle Brand owner for MVP launch,snacks,France,FRANCE|US_CANADA,6,kettle | diamond foods inc,kettle brand,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Potato Chips | Potato Chips Krinkle Cut Salt & Fresh Ground Pepper | Potato Chips Sea Salt | Potato Chips Honey Dijon | Potato Chips Pepperoncini,"Kettle Brand | Kettle, Kettle Brand | Diamond Foods Inc., Kettle, Kettle Brand",https://images.openfoodfacts.org/images/products/008/411/403/3338/front_en.12.400.jpg | https://images.openfoodfacts.org/images/products/008/411/410/7077/front_en.11.400.jpg | https://images.openfoodfacts.org/images/products/008/411/410/8128/front_en.16.400.jpg | https://images.openfoodfacts.org/images/products/008/411/411/9032/front_en.13.400.jpg | https://images.openfoodfacts.org/images/products/008/411/411/9056/front_fr.19.400.jpg,84114033338 | 84114107077 | 84114108128 | 84114119032 | 84114119056,,,
leclerc,leclerc,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc retailer/private-label banner,snacks,Canada,US_CANADA|FRANCE,6,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Maple Leaf Tradition Cookies | Caramel Truffle & Milk Chocolate Cookies | Célébration - Biscuits au Beurre Truffés Érable | Biscuits au son d'avoine chocolat noir | Celebration,"Leclerc 🇨🇦 | Leclerc | Leclerc, Vital Leclerc",https://images.openfoodfacts.org/images/products/006/404/200/2941/front_en.30.400.jpg | https://images.openfoodfacts.org/images/products/006/404/200/3412/front_en.40.400.jpg | https://images.openfoodfacts.org/images/products/006/404/200/3467/front_fr.8.400.jpg | https://images.openfoodfacts.org/images/products/006/404/200/3962/front_fr.39.400.jpg | https://images.openfoodfacts.org/images/products/006/404/200/6666/front_en.23.400.jpg,64042002941 | 64042003412 | 64042003467 | 64042003962 | 64042006666,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,beverages,France,FRANCE|DACH,6,marque repere,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Jus d'orange | Fresh Tea | Mon infusion après repas | Crème de cassis de Dijon 15° | Sirop de fruits exotiques,"Marque Repère, Jafaden | Marque Repère | Marque Repère, Tiséa | Marque Repère, Auguste Mugniot | Marque Repère, Frucci",https://images.openfoodfacts.org/images/products/356/470/000/2964/front_fr.134.400.jpg | https://images.openfoodfacts.org/images/products/356/470/033/2634/front_fr.89.400.jpg | https://images.openfoodfacts.org/images/products/356/470/040/3884/front_fr.25.400.jpg | https://images.openfoodfacts.org/images/products/356/470/070/9634/front_fr.18.400.jpg | https://images.openfoodfacts.org/images/products/356/470/076/3391/front_fr.31.400.jpg,3564700002964 | 3564700332634 | 3564700403884 | 3564700709634 | 3564700763391,,,
paturages,paturages,Manual review,Intermarché / Les Mousquetaires,map_to_company,obvious Intermarché private-label line,beverages,France,FRANCE,6,paturages,paturages,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,"Yab Yaourt a boire sucre saveur coco, la bouteille de | P'tit yah | Boisson soja calcium | Boisson amande bq 1l | Café Latte - Café Froid",Pâturages | Paturages,https://images.openfoodfacts.org/images/products/325/039/199/8326/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/325/039/254/8063/front_fr.30.400.jpg | https://images.openfoodfacts.org/images/products/325/039/254/8094/front_fr.43.400.jpg | https://images.openfoodfacts.org/images/products/325/039/344/2704/front_fr.21.400.jpg | https://images.openfoodfacts.org/images/products/560/426/019/4063/front_fr.3.400.jpg,3250391693306 | 3250391998326 | 3250392548063 | 3250392548094 | 3250393442704,,,
