normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
Nescafé,nescafé,Nestlé,direct,beverages,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,24,Known Nestlé brand / brand line missing from proposed company mapping.,Gold Blend | Nescafé Original | Nescafé Original | Nescafé Espresso 100% arabica | Nescafé Azera decaff Americano | Nescafé Gold Crema | Nescafé Latte,"Nescafé | Nescafé | Nescafé | Nescafé | Nescafé, Bilash | Nescafé,Nestlé | Nescafé, Nestle",append_candidate,direct,
Schweppes,schweppes,Suntory Beverage & Food,market_scoped,beverages,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Suntory Beverage & Food,Suntory Beverage & Food,24,Proposed company mapping is concrete; approve for launch.,Schweppes Zero INDIAN TONIC | Schweppes | Schweppes Agrum' | Indian Tonic | Schweppes pink tonic,Schweppes | schweppes | Schweppes | Schweppes | Schweppes,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
SodaStream,sodastream,PepsiCo,direct,beverages,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,24,Known PepsiCo brand / regional alias missing from proposed mapping.,Concentré saveur pamplemousse rose | Concentré cola | Apfel | Getränkesirup Zitronen-Limetten-Geschmack | Sodastream Framboise 500mL Sodastream | CO2 Patrone,"Sodastream | Sodastream | Sodastream | sodastream | Sodastream | SodaStream Quick Connect, Sodastream",append_candidate,direct,
lidl,lidl,Lidl,direct,dairies,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,24,Obvious Lidl retailer/private-label brand line.,New York Sharp Cheddar Cheese | Vitamin D Whole Milk | Extra Creamy Dairy Whipped Topping | Gouda Cheese | Lactose free milk by lidl,Lidl | Lidl | Lidl | Lidl | Lidl,append_candidate,direct,
lidl,lidl,Lidl,direct,snacks,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,24,Obvious Lidl retailer/private-label brand line.,Butterkaramellwaffeln | Mini Brotchips mit Knoblauch | Les Bûchettes citron vert | Brioche tranchée,"Lidl | Lidl, Snack Day | lidl | Lidl | Lidl",append_candidate,direct,
tesco finest,tesco finest,Tesco,direct,dairies,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Tesco,Other / not mapped to a company,Manual review / complex ownership,24,Obvious Tesco retailer/private-label brand line.,Thick & Creamy Roasted Hazlenut Yoghurt | 0% fat Greek yogurt | Channel island while milk | Aged Blue Stilton | Kidderton Ash Goat s Cheese,"Tesco Finest | Tesco finest | Tesco finest, Tesco | Tesco finest,tesco | Tesco Finest,Tesco",append_candidate,direct,
Activia,activia,Danone,direct,dairies,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Manual review / complex ownership,23,Known Danone brand / brand line missing from proposed company mapping.,"Activia low fat vanilla & granola yoghert | Activia 0% Fat Vanilla Yogur | Low Fat Vanilla Yogurt & Granola | Mix and go vanilla | 8 pots Prune, Fig, Blackberry and Raspberry, and Rhubarb | Activia Intensely Creamy Bursting Blueberry","Activia | Activia | Activia | Activia | Activia | Activia,Danone | ACTIVIA,Danone",append_candidate,direct,
Carrefour Classic,carrefour classic,Carrefour,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,23,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",MOZZARELLA | emmenthal râpé fondant | Gruyère râpé | Brassé Fruits Mixés | Crème dessert saveur vanille | Cœur Complice doux et crémeux | LAIT Facile à digérer* | Dés de meule fruitée | Emmental fran�ais | Emmental français,"Carrefour Classic',Carrefour | carrefour classic | Carrefour classic | CARREFOUR CLASSIC' | Carrefour Classic, Carrefour | Carrefour,Carrefour Classic | Carrefour,Carrefour Classic' | Carrefour, Carrefour Classic', Classic' | Carrefour, Carrefour Classic | Carrefour, Carrefour classic",append_candidate,direct,
KitKat,kitkat,Nestlé,market_scoped,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Nestlé,Nestlé,23,Proposed company mapping is concrete; approve for launch.,Kitkat dark | Kitkat | Sugarsnaps | Kitkat dark | Japan Kit Kat | KitKat Chunky Funky | KITKAT Mini figurines | KITKAT Noisette Marbré 41.5g,"KitKat | KitKat | KitKat | KitKat | KitKat | KitKat, Nestlé | Kitkat, Nestlé | Kitkat, Nestlé",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
Schweppes,schweppes,Suntory Beverage & Food,market_scoped,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Suntory Beverage & Food,Other / not mapped to a company,23,Proposed company mapping is concrete; approve for launch.,Orangina | Schweppes Agrum' | Miss O ! Framboise Light | Schweppes Zero Fraise | Orangina Miss O! Mûre | Schweppes Agrum' | Schweppes Indian Tonic | O verger | les Eaux de thé BIO | May tea | Jus de pomme pétillant Champomy (pack de 2) | Pulco citron a diluer | Menthe | Ricqles saveur menthe | Schweppes Dry Ginger Ale Drink 330ML,"Orangina, Schweppes | Orangina, Schweppes | Orangina, Schweppes | Orangina, Schweppes | Orangina, Schweppes | Orangina Schweppes, Schweppes | Orangina Schweppes, Schweppes | Orangina Schweppes, Schweppes, oasis | May Tea,Orangina Schweppes,Schweppes,Suntory | May Tea, Schweppes | Champomy,Orangina,Schweppes | Pulco, Schweppes | Ricqles, Schweppes | Scheppes, Schweppes | Scheweppes, Schweppes",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
aldi,aldi,Aldi,direct,snacks,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Aldi,Manual review / complex ownership,Manual review / complex ownership,23,Obvious Aldi retailer/private-label brand line.,"Jasmin Reis | Profiteroles | Choco Bistro Schoko Butterkeks, Zartbitter | Muffin, Schokolade | Biscuits à l'Avoine Bio","Aldi | Aldi, Villa Gusto | Aldi, Choco Bistro | Aldi, Mike Mitchell's | Aldi, Nature Active Bio",append_candidate,direct,
carrefour,carrefour,Carrefour,direct,beverages,BENELUX|FRANCE|SOUTHERN_EUROPE,BENELUX|FRANCE|SOUTHERN_EUROPE,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,23,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Iced tea saveur pêche | Intenso | Fresh Tonic Soda avec sucre et édulcolorants | Jus d'orange à base de concentré | Orange sans pulpe,"Carrefour | Carrefour | Carrefour | Carrefour, Groupe Carrefour | Carrefour",append_candidate,direct,
carrefour,carrefour,Carrefour,direct,snacks,BENELUX|FRANCE|SOUTHERN_EUROPE,BENELUX|FRANCE|SOUTHERN_EUROPE,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,23,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Chocolat lait | Toetilla Chips Nature | ChocoGrani | Sticks et bretzels | P'tit Déj Honey & chocolate chips*,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
monoprix bio,monoprix bio,Monoprix,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Other / not mapped to a company,Manual review / complex ownership,23,Obvious Monoprix retailer/private-label brand line.,6 Gaufres au Miel à la farine d'épeautre | Goûter fourrés Cacao | Barres Abricot Chocolat | Barres Cranberries cajou quinoa Bio Monoprix,"Monoprix Bio, monoprix | MONOPRIX BIO ! | MONOPRIX BIO ! | MONOPRIX BIO ! | MONOPRIX BIO !",append_candidate,direct,
Carrefour Bio,carrefour bio,Carrefour,direct,dairies,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,22,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Yaourts nature au lait entier x12 Bio Carrefour | Fromage Frais | Beurre demi-sel | Crème dessert chocolat | Crème dessert vanille | Yaourt maigre,"Carrefour BIO, Carrefour | Carrefour BIO,Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour, Groupe Carrefour | Carrefour BIO, Carrefour | Carrefour,Carrefour Bio",append_candidate,direct,
boursin,boursin,Bel Group,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Bel Group,Manual review / complex ownership,Other / not mapped to a company,22,Known Bel Group cheese brand.,"Boursin Apéritif Les roulés Jambon fumé Poivre | Tomate, Oignon & Ciboulette (39,5 % MG) | Boursin® Salade Figue & apéritif | Boursin® Echalote & Ciboulette Portion x10 | Boursin® Figues et 3 Noix Portion x10","Bel, Boursin, Boursin aperitif | Bel, Boursin | Bel, Boursin, Boursin salade | Bel, Boursin, Boursin atartiner/core cheese | Bel, Boursin, Boursin atartiner/core cheese",append_candidate,direct,
carrefour le marche,carrefour le marche,Carrefour,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Other / not mapped to a company,22,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Brioche Nanterre | galettes pommes | Kouglof | Mini Viennoiseries | Pains Raisins x2,Carrefour-le-marche | Carrefour-le-marche | Carrefour-le-marche | Carrefour le Marché | Carrefour-le-marche,append_candidate,direct,
lidl,lidl,Lidl,direct,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,22,Obvious Lidl retailer/private-label brand line.,Pépites chocolat noir Navarre | 12 macarons | Bio Chocolat Noir equateur | Baton cookies | Feine Schokoladenfiguren Vollmilch,"Lidl | Lidl | Lidl | Lidl | Lidl,Favorina,Wergona Schokoladen",append_candidate,direct,
monoprix bio,monoprix bio,Monoprix,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Other / not mapped to a company,Manual review / complex ownership,22,Obvious Monoprix retailer/private-label brand line.,Emmental | Emmental bio | Emmental | Emmental | Emmental,Monoprix Bio | Monoprix Bio | Monoprix Bio | Monoprix Bio | Monoprix Bio,append_candidate,direct,
paturages,paturages,Les Mousquetaires / Intermarché,direct,dairies,BENELUX|FRANCE,BENELUX|FRANCE,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Les Mousquetaires / Intermarché,Manual review / complex ownership,Manual review / complex ownership,22,Pâturages is an Intermarché / Les Mousquetaires private-label dairy line.,Paturette Caramel | Fromage blanc 8% de matière grasse | Fromage blanc 0% de matière grasse | Emmental français râpé | Lait Demi Ecrémé Pâturages | Yab fraise banane 850g,"Pâturages | Pâturages | Pâturages | Pâturages | Pâturages | Paturages (Intermarché), Paturages",append_candidate,direct,
Coca-Cola,coca-cola,The Coca-Cola Company,direct,beverages,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Other / not mapped to a company,21,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,coke | Diet coke | Cherry coke | Diet Coke - 6pk/16.9 fl oz Bottles | Diet Coke Caffeine Free - Bottles,Coke | Coke | Coke | Coke | Coke,append_candidate,direct,
Simpl,simpl,Carrefour,direct,snacks,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,21,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Croissants | Pain au Chocolat | Brioche tranchée | Barre pâtissière | Biscuit tablette | Chocolate Para postres,"Carrefour, Simpl | Carrefour, Simpl | Carrefour, Simpl | Carrefour, Simpl | Carrefour, Simpl | Carrefour Discount, Simpl, produits blancs",append_candidate,direct,
Cadbury,cadbury,Mondelēz International,market_scoped,snacks,FRANCE|UK_IE,FRANCE|UK_IE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Mondelēz International,Mondelēz International,20,Proposed company mapping is concrete; approve for launch. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.,"Dairy Milk | DAIRY MILK | Curly Wurly | Fudge | Cadbury Heroes Chocolate Tub, 660 G","Cadbury | Cadbury | Cadbury | Cadbury | Cadbury | Cadbury, Mondelez",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.
Carrefour Bio,carrefour bio,Carrefour,direct,dairies,BENELUX|FRANCE,BENELUX|FRANCE,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,20,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Féta Bio | Aux fruits avec morceaux Fraise, Poire, Abricot ou Framboise | Petit reblochon au lait cru Bio | yaourt à la greque | Carrefour Bio Lait Demi-Écrémé","Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | carrefour bio | Carrefour BIO, Carrefour",append_candidate,direct,
Carrefour Sélection,carrefour sélection,Carrefour,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,20,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Orange Floride, 100 % Pur Jus Pressé | Ananas Costa Rica, 100 % Pur jus pressé | Raisin Litchi, 100 % Purs Fruits Pressés | Orange du Brésil 100% pur fruit pressé | Douceur exotique | Jus Multifruits Pomme, Litchi, Goyave | Eau minérale naturelle","Carrefour Sélection | Carrefour Sélection | Carrefour Sélection | Carrefour Sélection | Carrefour Selection | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection",append_candidate,direct,
Fuze Tea,fuze tea,The Coca-Cola Company,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Other / not mapped to a company,20,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,fuzetea | Fuzetea thé glacé pêche intense | Tea pêche | Fuzetea pomme cannelle | Fuzetea Peach | Jasmine Green Tea,fuzetea | Fuzetea | Fuzetea | Fuzetea | Fuzetea | fuzetea; Heaven and Earth; Coca Cola,append_candidate,direct,
Gatorade,gatorade,PepsiCo,direct,beverages,FRANCE|US_CANADA,FRANCE|US_CANADA,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,20,Known PepsiCo brand / regional alias missing from proposed mapping.,"Green apple bold & intense thirst quencher | Lemon-lime zero sugar thirst quencher, lemon-lime | Gatorade Zero | Zero glacier cherry sports drink | Gatorade Zero Glacier Freeze",Gatorade | Gatorade | Gatorade | Gatorade | Gatorade,append_candidate,direct,
Nescafé,nescafé,Nestlé,direct,beverages,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,20,Known Nestlé brand / brand line missing from proposed company mapping.,"Eiskaffee | Nescafé Cappuccino Weniger Süß | Nescafé cappucino | Nescafé Gold de Luxe | Nescafé Cappuccino, Entkoffeiniert, Typ Cappuccino | Latte Macchiato Nescafe | Nescafé Classic Mild Instantkaffee | Nestle DG Late Macchiato Vanilla 8+8 | Nescafé Xpress Typ Vanilla","Nestlé,Nescafé,Special filtre | Nestlé, Nescafé | Nestlé, Nescafe | Nestlé, Fach, Nescafe, Fach 2 | Nestlé,Nescafé | Nescafe | Nescafe | Nescafe, Nescafé | Nescafé | Nescafé",append_candidate,direct,
Nesquik,nesquik,Nestlé,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,20,Known Nestlé brand / brand line missing from proposed company mapping.,"Nesquik | Nesquik gourmand | Mon Premier Nesquik | NESQUIK Poudre Cacaotée boîte 1,1kg | Nesquik | chocolat en poudre | Nesquik | Nesquik Saveur Choco Noisette | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Nesquik","Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nesquik | Nesquik | Nesquik | Nesquik | Nesquik",append_candidate,direct,
Nesquik,nesquik,Nestlé,direct,cereals,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,20,Known Nestlé brand / brand line missing from proposed company mapping.,"Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Céréales Nesquik | NESQUIK Céréales Petit Déjeuner 625g + 20% | Nesquik grand | Nesquik | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Céréales Nesquik | cereal chocolatoso","Nestlé,Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nesquik | Nesquik | Nesquik | Nesquik | nesquik",append_candidate,direct,
Quaker Oats,quaker oats,PepsiCo,direct,cereals,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,20,Known PepsiCo brand / regional alias missing from proposed mapping.,"Quaker simply granola oats, honey, and almonds | 100% Whole Grain Rolled Oats Old Fashioned | Quaker Strawberries & Cream Instant Oatmeal (10-1.23 Ounce) 12.3 Ounce 10 Packet Box | Original breakfast cereal | Steel Cut Oats",Quaker Oats | Quaker Oats | Quaker oats | Quaker Oats | Quaker Oats,append_candidate,direct,
Rolo,rolo,The Hershey Company,market_scoped,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,The Hershey Company,The Hershey Company,20,Proposed company mapping is concrete; approve for launch.,"Creamy Caramels Wrapped In Rich Chocolate Candy, Creamy Caramels | Dark Salted Caramel Rolos | Chewy Caramels In Milk Chocolate | Chewy Caramels In Milk Chocolate | Chewy Caramels In Milk Chocolate",Rolo | Rolo | Rolo | Rolo | Rolo,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
lindt,lindt,Lindt & Sprüngli,direct,snacks,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lindt & Sprüngli,Manual review / complex ownership,Manual review / complex ownership,20,Known Lindt brand / line.,Lindt excellence 99% | Chocolat noir extra fondants | Excellence Noir Pistache à la Pointe de Sel | Chocolat noir pépite de cacao | Création - Menthe Frappée,Lindt | Lindt | Lindt | Lindt | Lindt,append_candidate,direct,
wegmans organic,wegmans organic,Wegmans,direct,dairies,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Wegmans,Other / not mapped to a company,Manual review / complex ownership,20,Obvious Wegmans retailer/private-label / corporate brand line.,Unsalted Sweet Cream Butter | Salted butter | cream cheese | 1% low fat milk | Vitamin D Whole Milk,Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic,append_candidate,direct,
Activia,activia,Danone,direct,dairies,BENELUX|FRANCE,BENELUX|FRANCE,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Manual review / complex ownership,19,Known Danone brand / brand line missing from proposed company mapping.,"Activia Fruits (Fraise, Ananas, Cerise, Mangue, Figue, Abricot) 16 Pots | Activia Fruits (Ananas) | Activa (Nature) 12 Pots | Activia (Nature) 16 Pots | Activia 0% fraise | Kéfir Doux Nature | Activia nature | Activia | activia framboos | Activia - muesli Framboise Chia","Activia, Danone | Activia, Danone | Activia, Danone | Activia, Danone | Activia, danone | ACTIVIA | Activia | Activia, Bosbes | Activia | Activia",append_candidate,direct,
Belvita,belvita,Mondelēz International,direct,snacks,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Mondelēz International,Manual review / complex ownership,Manual review / complex ownership,19,Known Mondelēz brand / regional Cadbury routing outside US.,Belvita Soft Bakes | Belvita Breakfast Biscuits Milk & Cereal | Apricot soft bakes | belvita baked bar | SOFT BAKES Red Berries | Soft Bakes Blueberry,"Belvita | Belvita | Belvita | Belvita | belVita | Belvita,Mondelez",append_candidate,direct,
Fanta,fanta,The Coca-Cola Company,direct,beverages,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Manual review / complex ownership,19,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,Fanta Strawberry | Fanta Green Apple | Kiwi und Strawberry Limo | Fanta Lemon Ohne Zucker | Fanta | Fanta Orange | Fanta Lemon ohne Zucker | Fanta Mango | ALDI Coca-Cola Fanta orange 1.49€ plus 0.25€ Pfand 1l 0.75€ | Fanta Orange | Fanta Orange Zero,"Fanta | Fanta | Fanta | Fanta,Fanta-light | Fanta, Fanta-light | Coca-Cola, Fanta | Coca-Cola, Fanta, Orange | Coca-Cola, Coca-Cola Company, Fanta | Coca-Cola, Fanta | Fanta,Coca-Cola | Fanta, The Coca Cola Company | Fanta,The Coca-Cola Company",append_candidate,direct,
casino bio,casino bio,Groupe Casino,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Other / not mapped to a company,Manual review / complex ownership,19,Obvious Casino retailer/private-label brand line.,Emmental Bio | Faiselle lait entier Bio | Crème dessert au chocolat Bio | Lait demi-écrémé | Lait entier,"Casino Bio | Casino Bio | Casino BIO, Groupe Casino | Casino BIO, Groupe Casino | Casino bio",append_candidate,direct,
coop naturaplan,coop naturaplan,Coop,direct,dairies,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Coop,Other / not mapped to a company,Manual review / complex ownership,19,Obvious Coop retailer/private-label brand line.,"Jogurt Nature bio | Yogourt Moka Bio, ferme | Bifidus Vollmilchjogurt nature BIO | Beurre bio | Lait Drink Bio",coop naturaplan | Coop naturaplan | Coop Naturaplan | Coop naturaplan | Coop naturaplan,append_candidate,direct,
danone,danone,Danone,direct,dairies,FRANCE|DACH,FRANCE|DACH,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Danone,Danone,19,Proposed company mapping is concrete; approve for launch.,Actimel Défenses Immunitaires | Skir | Velouté Fruix Framboise | Recette cremeuse aux fruits panache fruits rouges 125 g x 8 | Danone skyr 140 g x 2 nature,"Danone | Danone | Danone | Danone, Recette cremeuse, Recette cremeuse aux fruits | Danone, Danone of the world",append_candidate,direct,
président,président,Lactalis,direct,dairies,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lactalis,Manual review / complex ownership,Manual review / complex ownership,19,Known Lactalis brand.,Beurre doux bio | Beurre doux 60% | Brie Cheese | Manteiga Magra com sal | Rulo de Cabra,Président | Président | Président | Président | President,append_candidate,direct,
Cadbury,cadbury,Mondelēz International,market_scoped,dairies,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Mondelēz International,Mondelēz International,18,Proposed company mapping is concrete; approve for launch. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.,Cadbury mini egg yogurt | Layers of Joy Chocolate Trifle Desserts 2 x | Wispa Chocolate Dessert x | Royal Chai Masala Chai | Dairy Milk Buttons,"Cadbury | Cadbury | Cadbury | Cadbury, Royal chai | Cadbury",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.
Carrefour Sélection,carrefour sélection,Carrefour,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,18,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Cheesecake nature sur son biscuit croustillant | Assortiment de chocolats lait, noir, blanc | Assortiment de chocolats au lait | Chocolat Noir Fourré Truffe Crumble et Framboise | NOIR 80% Cacao | Galette des rois | Galette des rois frangipane | Galette des Rois Frangipane à la pâte d'amandes | LAIT Extra fin | Palmiers","Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection | Carrefour,Carrefour Sélection",append_candidate,direct,
Nescafé,nescafé,Nestlé,direct,beverages,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,18,Known Nestlé brand / brand line missing from proposed company mapping.,Nescafé | Decaffeinated instant coffee | Dolce Gusto Bonka Ristretto | Cafè soluble 3 a 1 | Vitalíssimo café soluble descafeinado | Classic descafeinado,"Nescafe | Nescafé | Nescafé | Nescafé | Nescafe | Nescafé,Nestlé",append_candidate,direct,
Schweppes,schweppes,Suntory Beverage & Food,market_scoped,beverages,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Suntory Beverage & Food,Suntory Beverage & Food,18,Proposed company mapping is concrete; approve for launch.,Acqua tonica | Schweppws gusto agrumi | Schweppes Limone | Tonica zero pet | Tonica Schweppes Lata,Schweppes | Schweppes | Schweppes | Schweppes | Schweppes,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
