query_category,observed_market_region_codes,current_primary_brand,proposed_primary_brand,detected_portfolio_group,detection_source,detection_reason,record_count,example_product_names,example_raw_brands
dairies,FRANCE,danone,danio,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,9,"Danio nature | Danio Fraise 0% | Mini Danio Pêche | Danio Minis Framboise (2,4% MG) | Danio Kiwi",danone | danone | danone | danone | danone
snacks,US_CANADA,mondelez,sour patch kids,Mondelez,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,9,Sour patch kids candy kids 1x1.8 lb | Sour Patch Kids Big Kid | Sour patch kids | Sour Patch Kids | Sour patch Kids,mondelez | mondelez | mondelez | mondelez | mondelez
dairies,US_CANADA,simply,simply,,no_change,no more-specific Top 9 portfolio brand detected,9,"Cottage Cheese | Low Fat Cottage Cheese | Cottage Cheese | Kraft, Simply Reduced Fat Sour Cream | Kraft, Sour Cream",simply kraft | simply kraft | simply kraft | simply kraft | simply kraft
dairies,UK_IE,danone,activia,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,9,Activia | Activia Strawberry Yogurt | Activia Rhubarb Yogurt | Activia Cherry Fat Free Yogurt | Activia Peach Yogurt,danone | danone | danone | danone | danone
dairies,BENELUX|FRANCE,danette,danette,,no_change,no more-specific Top 9 portfolio brand detected,9,CROUSTI 3 CHOCO | Danette Saveur Chocolat-Noisette | Danette croustillant 3 choco | Danette pop chocolat et billes soufflees 117 g x 4 | Danette saveur vanille sur lit au caramel,"danette, danone | danette, danone | danette, danone | danette, danette grains de malice, danone | danette, danone"
beverages,FRANCE|US_CANADA,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,9,Coca Cola | Coca-Cola | Coca-Cola Original Taste | Coca-Cola Zero Sugar | Coca-Cola Zero Sugar Cola,coca-cola | coca-cola | coca-cola | coca-cola | coca-cola
snacks,FRANCE,hollywood,hollywood,,no_change,no more-specific Top 9 portfolio brand detected,9,Sweet Gum Fraise & Citron Vert | 2Fresh parfum menthe extra-fort | Style parfum Cocktail de Fruits | Green Fresh Sans Sucres | Chew gum,"hollywood, mondelez | hollywood, mondelez | hollywood, mondelez | hollywood, mondelez | hollywood, mondelez"
beverages,BENELUX|FRANCE,coca cola,coca cola light,Coca-Cola,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,9,Coca Cola Zero 1.5 | Coca Cola Coke Zero 375Ml | Boisson gazeuse aux extraits végétaux | Coke Light | Coca zero lemon,"coca cola company, coca-cola-light | coca-cola, coca-cola-light | coca cola zero, coca-cola-light | coca-cola, coca-cola-light, the coca-cola company | coca-cola, coca-cola-light"
beverages,BENELUX|FRANCE,lipton,lipton,,no_change,no more-specific Top 9 portfolio brand detected,8,Lipton Thé Vert Citron 25 Sachets | Green Ice Tea Lemon | Tropical Ice Tea | Thé Glacé Pétillant Agrumes | Ice tea Sparkling,"lipton, unilever | lipton, unilever | lipton, unilever | lipton, unilever | lipton, unilever"
cereals,UK_IE,nestle,cheerios,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,CHEERIOS Chocolate Cereal Box | Cheerios honey | Honey Cheerios | Cheerios honey | Cheerios multigrain,nestlé | nestle | nestlé | nestlé | nestle
beverages,FRANCE|DACH,danone,volvic,Danone,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,8,"Trinkwasser Volvic | Eau minérale | Volvic Touch Rote Früchte 1,5L | Volvic Tee Pfirsich 1,5 L EW | Volvic Tee Pfirsich 75cl PET","danone, société des eaux de volvic, volvic | danone, volvic | danone,touch,volvic | danone,volvic,volvic aro | danone,volvic"
dairies,FRANCE|DACH,danone,danone,,no_change,no more-specific Top 9 portfolio brand detected,8,Skir | Velouté Fruix Framboise | SKYR | Dany Sahne | Danone FruchtZwerge für unterwegs Erdbeer/Banane 70g,danone | danone | danone | danone | danone
dairies,FRANCE|DACH,activia,activia,,no_change,no more-specific Top 9 portfolio brand detected,8,"Activia bifidus cereales 120 g x 4 muesli | Danone ACTIVIA® Erbeere / Pfirsich-Maracuja 115g AFH | Activia® Erdbeere (4×115g = 460g) | Danone ACTIVIA® XXL Winter Edition Hafer, Apfel & Zimt / Leinsamen & getrocknete Pflaume (8 x 115g) = 920g | Danone ACTIVIA® ohne Zuckerzusatz & ohne Süßstoffe, doppelt Früchte Erdbeere, Dattel, Himbeere (4 x 115g) = 460g","activia, activia yoghurt cereals/fibres, danone | activia®, danone | activia®, aktivia, danone, danone activia® | activia®, danone | activia®, danone"
snacks,FRANCE,nestle,lanvin lescargot,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,LANVIN Mini Escargots TRIO Lait Blanc Noir | LANVIN Escargots EDITION DE NOEL lait pain d'épices 329g | LANVIN l'escargot caramel 164G | LANVIN l'escargot café 164g | LANVIN l'escargot noir 164G,"nestlé, lanvin l'escargot | nestlé, lanvin l'escargot | nestlé, lanvin l'escargot | nestlé, lanvin l'escargot | nestlé, lanvin l'escargot"
snacks,FRANCE,nestle,lion,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,Lion mini (+10% gratuit) | Lion | Lion Peanut 2pack | Lion snack size | Barre chocolatée lion,nestlé | nestlé | nestlé | nestlé | nestlé
beverages,FRANCE|US_CANADA,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,8,"DOUBLESHOT ENERGY ENERGY COFFEE BEVERAGE | White Chocolate Mocha | Sparkling juice blend | Vanilla honey flavored coffee smoothie with almondmilk, vanilla honey | Vanilla Latte",starbucks | starbucks | starbucks | starbucks | starbucks
snacks,FRANCE,nestle,lescargot,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,LANVIN Escargots Chocolat Noir mini 140g | Escargot de Lanvin | Lanvin escargot lait cœur praliné amande | Lanvin l'escargot noir | Lanvin l'escargot lait,"nestlé, l'escargot, lanvin | nestlé, l'escargot, lanvin | nestlé, l'escargot, lanvin | nestlé, l'escargot, lanvin | nestlé, l'escargot, lanvin"
beverages,FRANCE,carte noire,carte noire,,no_change,no more-specific Top 9 portfolio brand detected,8,"L'Instant Classic | Arabica exclusif | L'Instant Classic, gout équilibré | Café Arabica N°6 Corsé | N°11 Expresso Intense irrésistible","carte noire, mondelez | carte noire, kraft foods | carte noire, mondelez | carte noire, kraft foods | carte noire, mondelez"
snacks,FRANCE,nestle,quality street,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,8,QUALITY STREET | Quality Street Chocolates & Toffees | Quality Street | Chocolat Quality Street | Quality Street,"nestlé, quality street | nestlé,quality street | nestlé, quality street | nestlé, quality street | nestlé, quality street"
,FRANCE,nestle,fitness,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,Fitness original | Fitness & fruits | Nestlé - Fitness - Chocolat Blanc | Fitness Delice | Fitness croquant d'avoine,nestlé | nestlé | nestlé | nestlé | nestlé
cereals,FRANCE,nestle,lion,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,8,lion | Céréales Lion - Caramel & Chocolat | Lion Caramel et Chocolat (+50% gratuit) | NESTLE LION céréales 675g​ | NESTLE LION Céréales 750g,"nestlé, lion | nestlé, lion | nestlé, lion | nestlé, lion | nestlé, lion"
cereals,FRANCE,nestle,lion,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,Céréales lion bio | Lion caramel and chocolate | Lion caramel & chocolate taste | Céréales Lion | Lion cereal with caramel and chocolate,nestlé | nestlé | nestlé | nestlé | nestlé
dairies,FRANCE,nestle,ptit gourmand,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,NESTLE P'TIT GOURMAND Cacao - 4 x 100g - Dès 6 mois | NESTLÉ P'TIT GOURMAND Semoule au Lait - 4 x 100g - Dès 6 mois | NESTLE P'TIT GOURMAND Crème de Riz au Lait - 4 x 100g - Dès 6 mois | NESTLÉ P'tit GOURMAND BIO saveur Vanille 4x90g | NESTLÉ P'TIT GOURMAND BIO Cacao 4x90g,"nestlé, nestlé p'tit gourmand, p'tit gourmand | nestlé, p'tit gourmand, bébé nestlé, nestlé bébé | nestlé, p'tit gourmand | nestlé, p'tit gourmand | nestlé, p'tit gourmand"
cereals,FRANCE,nestle,fitness,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,"Céréales Fitness Nestlé, Blé Complet 375g+75 Gratuit | Fitness | Fitness | Fitness Miel & Almendras | Fitness Dark Chocolate 375gr",nestlé | nestlé | nestlé | nestlé | nestlé
snacks,US_CANADA,heinz,heinz,,no_change,no more-specific Top 9 portfolio brand detected,8,"Hot Dog Relish, Hot Dog | Heinz, Dip & Go!, Jalapeno Yellow Mustard With Pretzels | Heinz, Mustard & Pretzels Dippers | Heinz, Bread & Butter Slices, Mildly Sweet And Spicy, Mildly Sweet And Spicy | Heinz, Premium Kosher Baby Dills, Garlic Dill Taste",heinz | heinz | heinz | heinz | heinz
snacks,BENELUX|FRANCE,nestle,galak,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,Galak Le chocolat blanc | Bâtons Galak 40G | Blanc-wit | chocolat blanc speculoos | Galak popri,"nestlé, galak | nestlé, galak | nestlé, galak | nestlé, galak | nestlé, galak"
snacks,BENELUX|FRANCE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,8,"Moelleux la laitière | Galettes de riz Barbecue Paprika | Kit Kat | Nestlé Biscuit | Chocolat noir aux myrtilles confites, noisettes et amandes",nestlé | nestlé | nestlé | nestlé | nestlé
snacks,BENELUX|FRANCE,nestle,les recettes de latelier,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,"Chocolat au lait Raisins, Amandes & Noisettes | NESTLE L'ATELIER Noir Caramel 115g | NESTLE L'ATELIER Noir Amande 115g | NESTLE L'ATELIER Noir Orange confite 115g | Les recettes de l'atelier","nestlé, les recettes de l'atelier | nestlé, les recettes de l'atelier | nestlé, les recettes de l'atelier | nestlé, les recettes de l'atelier, nestlé dessert | nestlé, les recettes de l'atelier"
dairies,US_CANADA,kraft,kraft singles,Kraft Heinz,top_company_portfolio_matrix_off_brands,known portfolio brand appears in OFF brands field,8,American Cheese Slices | White American Cheese Slices | Skim Milk Sharp Cheddar Cheese Slices | American Cheese Slices | American Cheese Product,kraft singles | kraft singles | kraft singles | kraft singles | kraft singles
,FRANCE,nestle,ptite cereale,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,NESTLE P'TITE CEREALE Cacao - Boîte 400g- Dès 6 mois | NESTLE P'TITE CEREALE Miel - Boîte 400g - Dès 8 mois | NESTLE P'TITE CEREALE Vanille Boîte 400g - Dès 6 mois | NESTLE P'TITE CEREALE 5 Céréales Vanille 415g | P'TITE CEREALE 5 Céréales - Boîte 415g - De 6 à 36 mois,"nestlé, p'tite cereale | nestlé, p'tite cereale | nestlé p'tite cereale | nestlé, p'tite cereale | nestlé, p'tite cereale"
beverages,FRANCE,nestle,milo,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,Choco Milo Free Activgo X 500GR | Nestle Milo powder 520g | NES MILO 200GM | Nestle Milo Drinking Chocolate | MILO ACTIV-GO Softpack,nestlé | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE|DACH,nestle,smarties,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,8,Smarties Family Pack | Smarties mini | Smarties Mini | Bonbons smarties de chocolat au lait dragéïfiés | Chocolat Smarties,nestlé | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE,cadbury,cadbury,,no_change,no more-specific Top 9 portfolio brand detected,8,Stoptou 2 étuis | Astros | Luxury cookies | Cookies Milk & Hazelnut Chunk Sensations | Bournville Fingers,"cadbury, kraft foods | cadbury,mondelez,mondelez international | cadbury, mondelez, mondelez international | cadbury, mondelez | cadbury, mondelez"
snacks,FRANCE,belvita,belvita,,no_change,no more-specific Top 9 portfolio brand detected,8,"Belvita Petit Déjeuner Chocolat & 5 Céréales Complètes, allégé en sucres | Moelleux Petit Déjeuner fruits rouges | Belvita Muesli | Le Moelleux fruits rouges | Belvita petit déjeuner","belvita, kraft foods, lu | belvita, lu, mondelez | belvita,mondelez | belvita, lu, mondelez | belvita, lu, mondelez"
snacks,FRANCE,doritos,doritos,,no_change,no more-specific Top 9 portfolio brand detected,8,Goût Paprika | Doritos Nacho cheese | Doritos Sweet Chili Pepper | Biscuits apéritif chips barbecue Doritos | Doritos cheese,"doritos, pepsico | doritos, pepsico | doritos, pepsico | doritos, pepsico | doritos,pepsico"
,FRANCE,nestle,crunch,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,Crunch (+50% gratuit) | NESTLE CRUNCH Céréales 450g | NESTLE CRUNCH Céréales Petit Déjeuner 3x450g | Crunch max - Céréales fourrées au bon goût de chocolat | NESTLE CRUNCH Choco-Noisette Céréales 400g,"nestlé, crunch | nestlé, crunch | nestlé, crunch | nestlé, crunch | nestlé, crunch"
beverages,BENELUX|FRANCE,pepsi,pepsi,,no_change,no more-specific Top 9 portfolio brand detected,8,Pepsi Zéro sucres 50 cl | Pepsi Max | Pepsi Max Cool Lemon | Pepsi MAX | Pepsi,"pepsi, pepsi zero | pepsi zero, pepsico | pepsi | pepsi | pepsi"
dairies,FRANCE|DACH,nestle,hirz,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,8,"Hirz Framboise Vanille | Yogourt baies des bois | Joghurt mit Luzerner Rhabarber | Hirz Jogurt, Brombeer Vanille 0.1% Fett, Brombeer ... | Hirz Yogourt Pommes Thurgoviennes et Kiwis Vaudois Nestlé","nestlé, hirz | nestlé, hirz | nestlé, hirz | nestlé, hirz | nestlé, hirz"
dairies,FRANCE,bledina,bledina,,no_change,no more-specific Top 9 portfolio brand detected,7,Blédi'Délice chocolat | Les Mini Lactés Fraise | Les mini lactés nature sucré | BLEDINA DESSERTS 4x100g Crème de Riz Dès 8 mois | Les lactés pêche,"blédina, danone | bledina, danone, les mini lactés | blédina, danone, les mini lactés | blédina, danone, les desserts, offre sucree | blédina, danone, les lactés"
cereals,FRANCE,nestle,chocapic,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,Chocapic Trocitos | Chocapic | Nestle Chocapic | Chocapic Duo | Chocapic,"nestlé, chocapic | nestlé, chocapic | nestlé,chocapic | nestlé, chocapic | nestlé, chocapic"
dairies,BENELUX|FRANCE,danone,hipro,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,7,Hipro fruit citron | Hipro Myrtille | Yaourt protéiné Hipro Vanille 0%mg - 2x160g | HiPRO Blueberry | HiPRO,danone | danone | danone | danone | danone
snacks,FRANCE,nestle,bebe nestle,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,7,P'tite Boisson Pommes Abricots | P'tite Boisson Pommes Framboises | P'tite Boisson pomme peche 4/6 mois | P'tits fruits pommes cassis | P'tits fruits pommes oranges,"nestlé, bébé nestlé, p'tite boisson, nestlé bébé | nestlé, bébé nestlé, nestlé bébé | nestlé, bébé nestlé, nestlé bébé, p'tite boisson | nestlé, bébé nestlé, nestlé bébé, p'tits fruits | nestlé, bébé nestlé, nestlé bébé, p'tits fruits"
snacks,FRANCE,mondelez,oreo,Mondelez,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,Oreo baby monster original | Oreo Cheesecake Fraise | Biscuiți cu cacao și cremă | Oreo Original | Oreo crispy & thin,"mondelez international, oreo | mondelez, oreo | mondelez,mondelez international,oreo | mondelez,oreo | mondelez, oreo"
snacks,FRANCE,nestle,chocapic,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,Chocapic Barres | Barre Chocapic | Chocapic | NESTLE CHOCAPIC Barres de Céréales 12x25g | Présentoir Barres CHOCAPIC 25gx24,"nestlé, chocapic | nestlé, chocapic | nestlé, chocapic | nestlé, chocapic | nestlé, chocapic"
dairies,BENELUX|FRANCE,danone,oikos,Danone,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,Oikos Yaourt à la grecque nature | Oikos Greek Natur | Yaourt à la grecque myrtille | Oikos Saveur Vanille | Oikos Yaourt A La Grecque Pomme Cannelle,"danone, oikos | danone, oikos | danone, oikos | danone, oikos | danone, oikos"
dairies,FRANCE|US_CANADA,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,7,"Nestle vanilla caramel coffee creamer | French vanilla powder coffee creamer | Coffee creamer, hazelnut | Hazelnut coffee creamer, hazelnut | Coffee creamer, french vanilla",nestlé | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE,nestle,grand chocolat,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,7,NESTLE LES CARRES Dégustation Lait Caramel Pointe de Sel 200g | Grand Chocolat Éclat Noir aux Éclats de fève de Cacao Noir | NESTLE GRAND CHOCOLAT Chocolat Noir Raisins Amandes Noisettes 200g | NESTLE GRAND CHOCOLAT Chocolat Noir Noisettes Entieres 200g | NESTLE GRAND CHOCOLAT Chocolat au Lait Noisettes Entières 200g,"nestlé, grand chocolat | nestlé, nestlé grand chocolat | nestlé, grand chocolat | nestlé, grand chocolat | nestlé, grand chocolat"
beverages,UK_IE,nestle,nescafe,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,7,Nescafe original coffee | nescafe gold cappuccino unsweetened | Nescafé Gold Oat Latte | Nescafe original 3 in 1 | Nescafé coffee,nestlé | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE|SOUTHERN_EUROPE,fontaneda,fontaneda,,no_change,no more-specific Top 9 portfolio brand detected,7,Lulu el osito de chocolate | Digestive avena | Digestive manzana y avena | Digestive finas de chocolate con leche,"fontaneda,mondelez | fontaneda,mondelez | fontaneda,mondelez | fontaneda,mondelez | fontaneda,mondelez"
snacks,FRANCE|SOUTHERN_EUROPE,nestle,kitkat,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,7,"KITKAT Chunky Peanut Butter Wrapper 42g | KITKAT 4 Fingers Barre au Chocolat au Lait 41,5g, unitaire | KitKat | KITKAT Mini Barre au chocolat au Lait, 200g | KitKat Dark",nestlé | nestlé | nestlé | nestle | nestlé
snacks,FRANCE,mondelez,toblerone,Mondelez,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,7,Toblerone Cheesecake | Toblerone | Toblerone Milk Tiny 25er | Toblerone blanc | Toblerone,mondelez | mondelez | mondelez | mondelez | mondelez
,US_CANADA,nestle,toll house,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,7,WHITE CHIP MACADAMIA NUT COOKIE DOUGH | Chocolate Chip Lovers | Pecan Turtle Delight | CHOCOLATE CHIP COOKIE DOUGH | mini chocolate chip cookie dough,nestle toll house | nestlé toll house | nestle toll house | nestle toll house | nestle toll house
dairies,FRANCE|SOUTHERN_EUROPE,danone,actimel,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,7,actimel 0% | actimel fresa | Actimel desnatado 0% natural | Actimel Natural | Actimel kids fresa-plátano,danone | danone | danone | danone | danone
beverages,US_CANADA,pepsi cola,pepsi cola,,no_change,no more-specific Top 9 portfolio brand detected,7,"Vanilla Real Sugar Cola, Vanilla | Throwback Natural Sugar Cola | Real Sugar Cola | Wild Cherry Real Sugar Cola, Wild Cherry | 7 up",pepsi-cola | pepsi-cola | pepsi-cola | pepsi-cola | pepsi-cola
snacks,FRANCE,nestle,fitness,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,7,Fitness chocolat au lait | Barres Fitness Chocolat Blanc | Barre de céréales Fitness Crunchy Caramel | Fitness Délice - Chocolat Noir | FITNESS Délice barres de céréales chocolat au lait,nestlé | nestlé | nestlé | nestlé | nestlé
beverages,FRANCE,nestle,perrier,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,"Lemon | Eau De Source Naturelle Gazéifiée, 10 X 250 ML, Citron | PERRIER citron vert | Perrier fines bulles | Perrier","nestlé waters, perrier | nestlé, perrier | nestlé, nestlé waters, perrier | nestlé, nestlé waters, perrier | nestlé, perrier"
beverages,FRANCE|UK_IE,nestle,san pellegrino,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,"Carbonated Natural Mineral Water (Nestlé, San Pellegrino) | San Pellegrino | Lemon & Mint | San Pellegrino Limonata | San Pellegrino Sparkling Limonata","nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino"
beverages,FRANCE,the coca cola company,the coca cola company,,no_change,no more-specific Top 9 portfolio brand detected,7,Coca Cola | Urge With Carbos | [Coca-Cola] Carbonated softdrink with cola taste | 50 CL POWER RED MANGO | Pulpy,the coca-cola company | the coca-cola company | the coca-cola company | the coca-cola company | the coca-cola company
snacks,FRANCE,smarties,smarties,,no_change,no more-specific Top 9 portfolio brand detected,7,Smarties mini eggs | SMARTIES Moulage Père Noel 85g | SMARTIES Lapin 175g | Mini tablette | SMARTIES Bleu edition givrée papier 130g,"smarties, nestlé | smarties, nestlé | smarties, nestlé | smarties nestle | smarties, nestlé"
snacks,FRANCE|DACH,lu,lu,,no_change,no more-specific Top 9 portfolio brand detected,7,Sablés beurré nantais | Lulu La Barquette Framboise | Belvita figues et fibres | Lulu L'Ourson Chocolat | Véritable Petit Beurre,"lu, mondelez international | lu,mondelez | lu, mondelez | lu,mondelez international | lu, mondelez international"
snacks,FRANCE,kitkat,kitkat,,no_change,no more-specific Top 9 portfolio brand detected,7,KitKat Chunky Funky | KITKAT Tablette noisette 99g | KITKAT Lapin 85G | Kitkat œuf géant | KITKAT Mini figurines,"kitkat, nestlé | kitkat nestle | kitkat, nestlé | kitkat, nestlé | kitkat, nestlé"
beverages,FRANCE|SOUTHERN_EUROPE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,7,Aquarius Naranja | Tofina | NESTLE DESSERT Cacao en Poudre boîte 250g | Aveia e cevana | Orzoro - Orzo e caffè solubile,nestlé | nestle | nestlé | nestlé | nestlé
beverages,FRANCE|UK_IE,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,7,Coca-Cola Original Taste | Coca-cola diet (UK) | Coca Cola Cherry Zero Bottle 500ml | Original Taste Cherry | Coca-Cola Zero Sugar Vanilla,coca cola | coca-cola | coca-cola | coca-cola | coca-cola
dairies,FRANCE,danone,delice,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,7,Délice Mamzouj | Danup Vanille | Yaourt saveur Fruits Exotiques | brassée goût fraise biscuits | Danup,"danone, délice | danone, délice | danone, delice | danone, delice | danone,délice"
dairies,FRANCE,danone,gervita,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,7,Gervita nature 100 g x 8 | Gervita noix de coco | Gervita noix de coco | Gervita nature | Gervita saveur noix de coco 100 g x 4,"danone, gervita, gervita nature | danone, gervita | danone, gervita | danone, gervita | danone, gervita, gervita fruits"
snacks,FRANCE,alsa,alsa,,no_change,no more-specific Top 9 portfolio brand detected,7,Préparation pour gâteau de semoule | Gâteau aux Amandes | Muffins | Flan pâtissier aux oeufs | Moelleux au bon goût Citron,"alsa, unilever | alsa, unilever | alsa, unilever | alsa, unilever | alsa, unilever"
dairies,FRANCE,danone,lait entier,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,7,Danone nature lait entier 125 g x 4 afh | Danone lait entier arome vanille 125 g x 8 | Danone lait entier arome nature fleur d'oranger 125 g x 4 | Danone lait entier arome ctron 125 g x 4 | Danone lait entier arome vanille 125 g x 4,"danone, danone lait entier | danone, danone lait entier | danone, danone lait entier | danone, danone lait entier | danone, danone lait entier"
beverages,BENELUX|FRANCE,nestle,nesquik,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,7,Nesquik | NESQUIK Gout EXTRA CHOCO Poudre Cacaotée boîte 600g | Nesquik Extra Choco | Nesquik,"nestlé, nesquik | nestlé, nesquik, nesquik extra choco | nestlé, nesquik | nestlé, nesquik | nestlé, nesquik"
beverages,FRANCE,coca cola,fanta,Coca-Cola,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,6,fanta | Fanta grape | Fanta Orange | Fanta Shokata | Fanta What The Fanta,"coca-cola company, fanta | coca-cola,coca-cola company,fanta | coca-cola compagny, fanta | coca-cola company, fanta | coca-cola company, fanta"
dairies,FRANCE|DACH,actimel,actimel,,no_change,no more-specific Top 9 portfolio brand detected,6,Actimel gout multifruit | Danone Actimel® 100% Pflanzlich Classic 6 x 100g = 600g | Danone Actimel® Classic 14 x 100g | Danone Actimel® VANILLE 6X100G | Actimel Yuzu bombig,"actimel,danone | actimel®, danone | actimel®, danone | actimel®, danone | actimel, danone"
dairies,UK_IE,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,6,Fairtrade Frappuccino Coffee Drink Caramel Flavour | DoubleShot Espresso | Starbucks cafe latte chilled coffee | Dark chocolate mocha flavour chilled coffee | Protein Drink,starbucks | starbucks | starbucks | starbucks | starbucks
snacks,FRANCE|NORDICS,marabou,marabou,,no_change,no more-specific Top 9 portfolio brand detected,6,Japp | Paradis Choklad | Mjölkchoklad Oreo Marabou | Marabou Kex | Marabou Co-Co,"marabou, mondelez | marabou, mondelez | marabou, mondelez, oreo | marabou, mondelez | marabou, mondelez"
dairies,UK_IE,danone,actimel,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,6,Actimel Immune Support | 0% added sugar 0% fat strawberry Actimel | Actimel Blueberry | Actimel Immune Support | Actimel 100% Dairy Free Mango,danone | danone | danone | danone | danone
snacks,FRANCE,mondelez,poulain,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,6,Poulain noir extra | Noir Extra | Pralinoise 55% | grand arôme 32% cacao sélectionné | Au Bon Lait de Nos Régions Noisettes,"mondelez international, poulain | mondelez, poulain | mondelez, poulain | mondelez, poulain | mondelez, poulain, unilever"
dairies,FRANCE|UK_IE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,6,Lindahl kvarg stracciatella | Fromage Blanc Fraise Citron Very | Pro+ Fromage Blanc Saveur Stracciatella | STRAWBERRY VANILLA,nestlé | nestlé | nestlé | nestlé | nestle
dairies,BENELUX|FRANCE,danone,actimel,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,6,Actimel | Actimel Original | Actimel grenade | Dan. actimel Myrtille | Actimel 0%,danone | danone | danone | danone | danone
