normalized_brand,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,primary_brand_db,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
Nesquik,Nestlé,direct,beverages,FRANCE,FRANCE,nesquik,France | Algeria | Democratic Republic Of The Congo,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,23,Known Nestlé brand / brand line missing from proposed company mapping.,"Nesquik | Nesquik gourmand | Mon Premier Nesquik | NESQUIK Poudre Cacaotée boîte 1,1kg | Nesquik | chocolat en poudre | Nesquik | Nesquik Saveur Choco Noisette | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Nesquik | Nesquik | nesquik | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon","Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nesquik | Nesquik | Nesquik | Nesquik | Nesquik | Nestlé, nesquik | Nestlé, Nesquik | N’essuie, Plus, Nestlé, Nesquik",append_candidate,direct,
carrefour le marche,Carrefour,direct,snacks,FRANCE,FRANCE,carrefour le marche,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Other / not mapped to a company,22,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Brioche Nanterre | galettes pommes | Kouglof | Mini Viennoiseries | Pains Raisins x2,Carrefour-le-marche | Carrefour-le-marche | Carrefour-le-marche | Carrefour le Marché | Carrefour-le-marche,append_candidate,direct,
paturages,Les Mousquetaires / Intermarché,direct,dairies,BENELUX|FRANCE,BENELUX|FRANCE,paturages,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Les Mousquetaires / Intermarché,Manual review / complex ownership,Manual review / complex ownership,22,Pâturages is an Intermarché / Les Mousquetaires private-label dairy line.,Paturette Caramel | Fromage blanc 8% de matière grasse | Fromage blanc 0% de matière grasse | Emmental français râpé | Lait Demi Ecrémé Pâturages | Yab fraise banane 850g,"Pâturages | Pâturages | Pâturages | Pâturages | Pâturages | Paturages (Intermarché), Paturages",append_candidate,direct,
Carrefour Bio,Carrefour,direct,dairies,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,carrefour bio,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,22,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Yaourts nature au lait entier x12 Bio Carrefour | Fromage Frais | Beurre demi-sel | Crème dessert chocolat | Crème dessert vanille | Yaourt maigre,"Carrefour BIO, Carrefour | Carrefour BIO,Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour, Groupe Carrefour | Carrefour BIO, Carrefour | Carrefour,Carrefour Bio",append_candidate,direct,
monoprix bio,Monoprix,direct,dairies,FRANCE,FRANCE,monoprix bio,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Other / not mapped to a company,Manual review / complex ownership,22,Obvious Monoprix retailer/private-label brand line.,Emmental | Emmental bio | Emmental | Emmental | Emmental,Monoprix Bio | Monoprix Bio | Monoprix Bio | Monoprix Bio | Monoprix Bio,append_candidate,direct,
danonino,Danone,direct,dairies,FRANCE,FRANCE,danonino,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Danone | Manual review / complex ownership,22,Known Danone brand / brand line missing from proposed company mapping.,Danonino | Danonino gourde fraise banane 70 g x 4 | Danonino aux fruits fraise framboise abricot 100 g x 6 | Danoino aux fruits fraise framboise abricot 50 g x 6 | Danonino aux fruits panache 50 g x 24 | Danonino aux fruits panache 50 g x 18 | Danonino mon yaourt rigolo 125 g x 12 saveur panache | Fromage blanc sucré aux fruits | Danoino aux fruits bio fraise abricot banane 50 g x 8 | Danonino pouch bio ambiant fraise 85 g x 6,"Danone, Danonino | Danone, Danonino, Danonino pouch | Danone, Danonino, Danonino fruits | Danone, Danonino, Danonino fruits | Danone, Danonino, Danonino fruits | Danonino, Danonino fruits | Danonino, Danonino flavoured | Danonino | Danonino, Danonino bio, danone | Danonino, Danonino bio",append_candidate,direct,
lidl,Lidl,direct,snacks,US_CANADA,US_CANADA,lidl,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,22,Obvious Lidl retailer/private-label brand line.,Pépites chocolat noir Navarre | 12 macarons | Bio Chocolat Noir equateur | Baton cookies | Feine Schokoladenfiguren Vollmilch,"Lidl | Lidl | Lidl | Lidl | Lidl,Favorina,Wergona Schokoladen",append_candidate,direct,
Nescafé,Nestlé,direct,beverages,FRANCE|DACH,FRANCE|DACH,nescafé,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,22,Known Nestlé brand / brand line missing from proposed company mapping.,"Eiskaffee | Nescafé Cappuccino Weniger Süß | Nescafé cappucino | Nescafé Gold de Luxe | Nescafé Cappuccino, Entkoffeiniert, Typ Cappuccino | Latte Macchiato Nescafe | Nescafé Classic Mild Instantkaffee | Nestle DG Late Macchiato Vanilla 8+8 | Nescafé Xpress Typ Vanilla | Farmers Origins Andes capsules café | NESC AFRICAS SRP 44g","Nestlé,Nescafé,Special filtre | Nestlé, Nescafé | Nestlé, Nescafe | Nestlé, Fach, Nescafe, Fach 2 | Nestlé,Nescafé | Nescafe | Nescafe | Nescafe, Nescafé | Nescafé | Nescafé | Farmers origins, Nescafe | Farmers origins, Nescafe",append_candidate,direct,
Cadbury,Mondelēz International,market_scoped,snacks,FRANCE|UK_IE,FRANCE|UK_IE,cadbury,France | Australia,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Mondelēz International,Mondelēz International,21,Proposed company mapping is concrete; approve for launch. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.,"Dairy Milk | DAIRY MILK | Curly Wurly | Fudge | Cadbury Heroes Chocolate Tub, 660 G | Starbar","Cadbury | Cadbury | Cadbury | Cadbury | Cadbury | Cadbury, Mondelez | Cadbury",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.
Carrefour Sélection,Carrefour,direct,beverages,FRANCE,FRANCE,carrefour sélection,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership | Other / not mapped to a company,21,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Orange Floride, 100 % Pur Jus Pressé | Ananas Costa Rica, 100 % Pur jus pressé | Raisin Litchi, 100 % Purs Fruits Pressés | Orange du Brésil 100% pur fruit pressé | Douceur exotique | Jus Multifruits Pomme, Litchi, Goyave | Eau minérale naturelle | Planteur Sans alcool, Préparation pour cocktail","Carrefour Sélection | Carrefour Sélection | Carrefour Sélection | Carrefour Sélection | Carrefour Selection | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection | CMI (Carrefour Marchandises Internationales), Carrefour Sélection, Groupe Carrefour",append_candidate,direct,
Quaker Oats,PepsiCo,direct,cereals,US_CANADA,US_CANADA,quaker oats,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,20,Known PepsiCo brand / regional alias missing from proposed mapping.,"Quaker simply granola oats, honey, and almonds | 100% Whole Grain Rolled Oats Old Fashioned | Quaker Strawberries & Cream Instant Oatmeal (10-1.23 Ounce) 12.3 Ounce 10 Packet Box | Original breakfast cereal | Steel Cut Oats",Quaker Oats | Quaker Oats | Quaker oats | Quaker Oats | Quaker Oats,append_candidate,direct,
Rolo,The Hershey Company,market_scoped,snacks,US_CANADA,US_CANADA,rolo,United States,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,The Hershey Company,The Hershey Company,20,Proposed company mapping is concrete; approve for launch.,"Creamy Caramels Wrapped In Rich Chocolate Candy, Creamy Caramels | Dark Salted Caramel Rolos | Chewy Caramels In Milk Chocolate | Chewy Caramels In Milk Chocolate | Chewy Caramels In Milk Chocolate",Rolo | Rolo | Rolo | Rolo | Rolo,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
Carrefour Bio,Carrefour,direct,dairies,BENELUX|FRANCE,BENELUX|FRANCE,carrefour bio,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,20,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Féta Bio | Aux fruits avec morceaux Fraise, Poire, Abricot ou Framboise | Petit reblochon au lait cru Bio | yaourt à la greque | Carrefour Bio Lait Demi-Écrémé","Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | carrefour bio | Carrefour BIO, Carrefour",append_candidate,direct,
Gatorade,PepsiCo,direct,beverages,FRANCE|US_CANADA,FRANCE|US_CANADA,gatorade,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,20,Known PepsiCo brand / regional alias missing from proposed mapping.,"Green apple bold & intense thirst quencher | Lemon-lime zero sugar thirst quencher, lemon-lime | Gatorade Zero | Zero glacier cherry sports drink | Gatorade Zero Glacier Freeze",Gatorade | Gatorade | Gatorade | Gatorade | Gatorade,append_candidate,direct,
Nesquik,Nestlé,direct,cereals,FRANCE,FRANCE,nesquik,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,20,Known Nestlé brand / brand line missing from proposed company mapping.,"Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Céréales Nesquik | NESQUIK Céréales Petit Déjeuner 625g + 20% | Nesquik grand | Nesquik | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Céréales Nesquik | cereal chocolatoso","Nestlé,Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nestlé, Nesquik | Nesquik | Nesquik | Nesquik | Nesquik | nesquik",append_candidate,direct,
wegmans organic,Wegmans,direct,dairies,US_CANADA,US_CANADA,wegmans organic,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Wegmans,Other / not mapped to a company,Manual review / complex ownership,20,Obvious Wegmans retailer/private-label / corporate brand line.,Unsalted Sweet Cream Butter | Salted butter | cream cheese | 1% low fat milk | Vitamin D Whole Milk,Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic,append_candidate,direct,
Nescafé,Nestlé,direct,beverages,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,nescafé,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,19,Known Nestlé brand / brand line missing from proposed company mapping.,Nescafé | Decaffeinated instant coffee | Dolce Gusto Bonka Ristretto | Cafè soluble 3 a 1 | Vitalíssimo café soluble descafeinado | Classic descafeinado | NESCAFE Farmers Origins Colombia Décaféiné 10 capsules,"Nescafe | Nescafé | Nescafé | Nescafé | Nescafe | Nescafé,Nestlé | Farmers origins, Nescafé",append_candidate,direct,
lidl,Lidl,direct,dairies,FRANCE|DACH,FRANCE|DACH,lidl,France | Bulgaria,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,19,Obvious Lidl retailer/private-label brand line.,"butter | Harzer Käse | Chèvrelard | Le Gruyère, Gerieben | Yogourt framboise | High Protrein Quark-Joghurt Creme kirsche","lidl | Lidl | Lidl, Petit Chebra | Lidl | Lidl, Qualité Suisse | Lidl",append_candidate,direct,
KitKat,Nestlé,market_scoped,snacks,UK_IE,UK_IE,kitkat,United Kingdom | Ireland,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Nestlé,Nestlé | Other / not mapped to a company | Manual review / complex ownership,19,Proposed company mapping is concrete; approve for launch.,Chunky Salted Caramel duo | KitKat Wasabi Flavor | KitKat Orange | KitKat Dark | Nescafe Mocha Flavour | KitKat festive friends | Vegan KitKat | KitKat Chunky Easter Egg | Cookie Dough Flavour | Kit kat chunky | Kit Kat Chunky | Nestle | Cherry Stix | Kit Kat F1 race cars | KitKat Original | KitKat Chunky with Lotus Biscoff | Dark | Kat 2 Finger Milk Chocolate Biscuit Bar Pack | KitKat Chunky,"KitKat | KitKat | KitKat | KitKat | Kitkat, Nestlé S.A. | KitKat, Nestlé | KitKat, Nestlé | KitKat, Nestlé | Kit Kat | Kit Kat | Kit Kat | Kit Kat | Kit Kat | Kit Kat, Nestlé | Kit Kat, Nestlé | KitKat | KitKat | Nestle,KitKat | Nestlé,KIT KAT",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
danone,Danone,direct,dairies,FRANCE|DACH,FRANCE|DACH,danone,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Danone,Danone,19,Proposed company mapping is concrete; approve for launch.,Actimel Défenses Immunitaires | Skir | Velouté Fruix Framboise | Recette cremeuse aux fruits panache fruits rouges 125 g x 8 | Danone skyr 140 g x 2 nature,"Danone | Danone | Danone | Danone, Recette cremeuse, Recette cremeuse aux fruits | Danone, Danone of the world",append_candidate,direct,
Cadbury,Mondelēz International,market_scoped,dairies,UK_IE,UK_IE,cadbury,United Kingdom | Ireland,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Mondelēz International,Mondelēz International,19,Proposed company mapping is concrete; approve for launch. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.,Cadbury mini egg yogurt | Layers of Joy Chocolate Trifle Desserts 2 x | Wispa Chocolate Dessert x | Royal Chai Masala Chai | Dairy Milk Buttons | Creamy Chocolate Caramel Flavour Milkshake,"Cadbury | Cadbury | Cadbury | Cadbury, Royal chai | Cadbury | Cadbury",append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.
Activia,Danone,direct,dairies,BENELUX|FRANCE,BENELUX|FRANCE,activia,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Manual review / complex ownership,19,Known Danone brand / brand line missing from proposed company mapping.,"Activia Fruits (Fraise, Ananas, Cerise, Mangue, Figue, Abricot) 16 Pots | Activia Fruits (Ananas) | Activa (Nature) 12 Pots | Activia (Nature) 16 Pots | Activia 0% fraise | Kéfir Doux Nature | Activia nature | Activia | activia framboos | Activia - muesli Framboise Chia","Activia, Danone | Activia, Danone | Activia, Danone | Activia, Danone | Activia, danone | ACTIVIA | Activia | Activia, Bosbes | Activia | Activia",append_candidate,direct,
casino bio,Groupe Casino,direct,dairies,FRANCE,FRANCE,casino bio,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Other / not mapped to a company,Manual review / complex ownership,19,Obvious Casino retailer/private-label brand line.,Emmental Bio | Faiselle lait entier Bio | Crème dessert au chocolat Bio | Lait demi-écrémé | Lait entier,"Casino Bio | Casino Bio | Casino BIO, Groupe Casino | Casino BIO, Groupe Casino | Casino bio",append_candidate,direct,
Carrefour Sélection,Carrefour,direct,snacks,FRANCE,FRANCE,carrefour sélection,France | Afghanistan,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,19,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Cheesecake nature sur son biscuit croustillant | Assortiment de chocolats lait, noir, blanc | Assortiment de chocolats au lait | Chocolat Noir Fourré Truffe Crumble et Framboise | NOIR 80% Cacao | Galette des rois | Galette des rois frangipane | Galette des Rois Frangipane à la pâte d'amandes | LAIT Extra fin | Palmiers | Tartelette au caramel beurre demi-sel","Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour Sélection,Carrefour | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection | Carrefour,Carrefour Sélection | Carrefour, Carrefour Sélection, Groupe Carrefour",append_candidate,direct,
Belvita,Mondelēz International,direct,snacks,UK_IE,UK_IE,belvita,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Mondelēz International,Manual review / complex ownership,Manual review / complex ownership,19,Known Mondelēz brand / regional Cadbury routing outside US.,Belvita Soft Bakes | Belvita Breakfast Biscuits Milk & Cereal | Apricot soft bakes | belvita baked bar | SOFT BAKES Red Berries | Soft Bakes Blueberry,"Belvita | Belvita | Belvita | Belvita | belVita | Belvita,Mondelez",append_candidate,direct,
Fanta,The Coca-Cola Company,direct,beverages,FRANCE|DACH,FRANCE|DACH,fanta,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Manual review / complex ownership,19,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,Fanta Strawberry | Fanta Green Apple | Kiwi und Strawberry Limo | Fanta Lemon Ohne Zucker | Fanta | Fanta Orange | Fanta Lemon ohne Zucker | Fanta Mango | ALDI Coca-Cola Fanta orange 1.49€ plus 0.25€ Pfand 1l 0.75€ | Fanta Orange | Fanta Orange Zero,"Fanta | Fanta | Fanta | Fanta,Fanta-light | Fanta, Fanta-light | Coca-Cola, Fanta | Coca-Cola, Fanta, Orange | Coca-Cola, Coca-Cola Company, Fanta | Coca-Cola, Fanta | Fanta,Coca-Cola | Fanta, The Coca Cola Company | Fanta,The Coca-Cola Company",append_candidate,direct,
coop naturaplan,Coop,direct,dairies,FRANCE|DACH,FRANCE|DACH,coop naturaplan,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Coop,Other / not mapped to a company,Manual review / complex ownership,19,Obvious Coop retailer/private-label brand line.,"Jogurt Nature bio | Yogourt Moka Bio, ferme | Bifidus Vollmilchjogurt nature BIO | Beurre bio | Lait Drink Bio",coop naturaplan | Coop naturaplan | Coop Naturaplan | Coop naturaplan | Coop naturaplan,append_candidate,direct,
lidl,Lidl,direct,beverages,FRANCE|DACH,FRANCE|DACH,lidl,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,18,Obvious Lidl retailer/private-label brand line.,Forte lungo | Icea tea | Mineralwasser still 6er Pack | Sirop cassis | Emmentaler,"Lidl | Lidl | Lidl | Lidl | Lidl, Penny",append_candidate,direct,
quaker,PepsiCo,direct,cereals,FRANCE|US_CANADA,FRANCE|US_CANADA,quaker,France | Bolivia,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,18,Known PepsiCo brand / regional alias missing from proposed mapping.,Instant oatmeal raisin date walnut | Cinnamon & Spice Instant Oatmeal Lower Sugar | Quaker original instant grits | life multigrain cereal | OATMEAL SQUARES BROWN SUGAR | Quaker Instant Oatmeal Original | Real Medleys Apple Walnut,"Quaker | Quaker | Quaker | quaker | QUAKER | Quaker | Quaker, Real Medleys",append_candidate,direct,
président,Lactalis,direct,dairies,FRANCE|DACH,FRANCE|DACH,président,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lactalis,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,18,Known Lactalis brand.,Beurre Tendre Demi Sel | Creme Fraiche | Beurre doux gastronomique | La Laiterie Bio - Beurre Moulé Doux | Beurre tendre | La Motte Beurre doux pasteurisé 82 % de mat. gr. eurre doux pasteurisé 82 % de mat. gr. | Petits chèvres basilic,"Président | President | Président | Président | Président | Lactalis, Président | Lactalis, Président",append_candidate,direct,
Schweppes,Suntory Beverage & Food,market_scoped,beverages,UK_IE,UK_IE,schweppes,United Kingdom | Hong Kong | United Arab Emirates,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Suntory Beverage & Food,Suntory Beverage & Food,18,Proposed company mapping is concrete; approve for launch.,Tonic Water | Soda Water | zero sugar lemonade | Indian tonic water | Schweppes Tonic Water | Cream Soda | Slimline Lemonade,Schweppes | Schweppes | Schweppes | Schweppes | Schweppes | Schweppes,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
sainsburys,Sainsbury's,direct,cereals,FRANCE|UK_IE,FRANCE|UK_IE,sainsburys,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Sainsbury's,Manual review / complex ownership,Manual review / complex ownership,18,Obvious Sainsbury’s retailer/private-label brand line.,Porridge oats | Wholewheat biscuits | Pure Porridge Oats | Whole Scottish Porridge Oats | Fruit & nut muesli,"Sainsbury's | Sainsbury's | Sainsbury's | Sainsbury's | Sainsbury's, Taste the difference, Tesco Taste the Difference",append_candidate,direct,
aldi,Aldi,direct,cereals,US_CANADA,US_CANADA,aldi,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Aldi,Manual review / complex ownership,Manual review / complex ownership,18,Obvious Aldi retailer/private-label brand line.,Maple & Brown Sugar Instant Oatmeal | Frosted Flakes | Blueberry flax whole granola grain | Vitality Cereal Vainilla Almond | Honey Nut Crispy Oats,"Aldi, Millville | Aldi | Aldi | Aldi | Aldi",append_candidate,direct,
boursin,Bel Group,direct,dairies,US_CANADA,US_CANADA,boursin,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Bel Group,Manual review / complex ownership,Manual review / complex ownership,18,Known Bel Group cheese brand.,"Boursin Gournay cheese | Boursin Cracked Black Pepper Soft White Cheese | Shallot & Chive Spreadable Gourmet Cheese | Boursin, gournay cheese, apple, cranberry & cinnamon, apple, cranberry & cinnamon | Boursin, gourmet spreadable cheese, garlic & herb",Boursin | Boursin | Boursin | Boursin | Boursin,append_candidate,direct,
babybel,Bel Group,direct,dairies,US_CANADA,US_CANADA,babybel,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Bel Group,Manual review / complex ownership,Manual review / complex ownership,17,Known Bel Group cheese brand.,Babybel Mini Original Semisoft Cheese | Semisoft Cheese | Original mini semisoft cheeses | White cheddar | Mini Original Semisoft Cheese,Babybel | Babybel | Babybel | Babybel | Babybel,append_candidate,direct,
Coca-Cola,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE,BENELUX|FRANCE,coca-cola,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Manual review / complex ownership,17,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,Cola Regular - Coca-cola - 1.5 Liters | Coca-Cola Collector 2013 | Coca-Cola | Coca Cola Original taste,Coca-Cola | Coca-Cola | Coca Cola | Coca-Cola | Coca-Cola,append_candidate,direct,
Carrefour Bio,Carrefour,direct,cereals,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,carrefour bio,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,17,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Muesli croustillant chocolat | Muesli croustillant | Muesli 5 céréales nature | Corn flakes | Croustillant Chocolat quinoa,"Carrefour BIO, Carrefour | Carrefour BIO,Carrefour | Carrefour BIO,Carrefour | Carrefour Bio,Carrefour | Carrefour Bio,Carrefour",append_candidate,direct,
Fitness,Nestlé,direct,cereals,FRANCE,FRANCE,fitness,France | Bulgaria,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Nestlé,Manual review / complex ownership,Manual review / complex ownership,17,Known Nestlé brand / brand line missing from proposed company mapping.,Fitness Croquant d'Avoine - Pépites croustillantes d'avoine au bon goût de miel | Fitness Croquant d'avoine | Fitness nutritious energy CHOCOLATE | Fitness chocolat noisette | Fitness original grains entiers d'avoine complète | Fitness Bio | Nestle fitness honey and almond | Fitness Granila | Fitness granola | Fitness cup choco lait | FITNESS Miel amandes,"Nestlé, Fitness | Nestlé, Fitness | Nestlé, Fitness | Nestlé, Fitness | Nestlé, Fitness | Fitness | Fitness | Fitness | Fitness | Fitness | Nestlé, Fitness",append_candidate,direct,
Lay's,PepsiCo,direct,snacks,UK_IE,UK_IE,lay's,United Kingdom | Lithuania | Poland,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Other / not mapped to a company,Other / not mapped to a company,17,Known PepsiCo brand / regional alias missing from proposed mapping.,Karbowane chipsy | Lays | Lays Maxx | Cheese flavoured | Tomato lays | Potato chips | Barbecue Rib Crisps | Spicy Paprika flavoured | Lays Papryka | Crisps Paprica,"Lay's | Lay's | Lay's, Lays | Lay's, | Lay's | Lay's | Lay's | Lay's | Lay's | Lay's | Lays",append_candidate,direct,
Oreo,Mondelēz International,direct,snacks,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,oreo,France | Czech Republic,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Mondelēz International,Manual review / complex ownership,Manual review / complex ownership,17,Known Mondelēz brand / regional Cadbury routing outside US.,Mini golden Oreo | Oreo Spooky - Sabor vainilla | Oreo Original | Oreo Original | Oreo finas | Double Creme | OREO Crispy & Thin Chocolat crème | Choco Brownie,"Oreo | Oreo | Oreo | Oreo | Oreo | Oreo,Mondelez | Mondeléz, Oreo | Oreo",append_candidate,direct,
Gatorade,PepsiCo,direct,beverages,FRANCE,FRANCE,gatorade,France | Australia,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,17,Known PepsiCo brand / regional alias missing from proposed mapping.,"G Perform Thirst Quencher - Frost Glacier Freeze | Gatorade Fruit Punch | Gatorade - Sport Drink - Aromă de zmeură | Gatorade Pulver Lemon | Gatorade Poudre Goût Orange 350 GR, 1 Boîte | Gatorade Orange Ice Sport Drink",Gatorade | Gatorade | Gatorade | Gatorade | Gatorade | Gatorade,append_candidate,direct,
quaker,PepsiCo,direct,cereals,BENELUX|FRANCE,BENELUX|FRANCE,quaker,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,17,Known PepsiCo brand / regional alias missing from proposed mapping.,"Quaker Cruesli 4 Nuts | 4 nuts | Cruesli chocolate | Flocons d'Avoine Cassonade | Oats Express Multifruit | Cruesli miel et noisettes | Cruesli Chocolat | Quaker Muesli Amandes, noisettes & raisins","Quaker | Quaker | Quaker | Quaker | Quaker | Cruesli, QUAKER | Cruesli, PepsiCo, Quaker | Muesli, QUAKER",append_candidate,direct,
