brand_key,canonical_brand,top_matrix_brand,change_type,reason,current_parent_company,current_brand,current_primary_brand_db,current_category,current_hq_country,current_status,current_market_scope,current_region_codes_include,current_country_tags_include,current_country_tags_exclude,current_product_scope_note,current_notes,proposed_parent_company,proposed_brand,proposed_primary_brand_db,proposed_category,proposed_status,proposed_market_scope,proposed_scope_rule_type,proposed_region_codes_include,proposed_region_codes_exclude,proposed_country_tags_include,proposed_country_tags_exclude,proposed_product_scope_note,proposed_notes,source_type,needs_manual_review
nescafe dolce gusto,Nescafé Dolce Gusto,Nescafé Dolce Gusto,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nescafe dolce gusto,nescafe dolce gusto,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nespresso,Nespresso,Nespresso,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,nespresso,nespresso,beverages,CH,direct,,,,,,Premium coffee system — Nestlé brand,Nestlé,nespresso,nespresso,beverages,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
nesquik,Nesquik,Nesquik,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,nesquik,nesquik,powder_drinks,CH,direct,,,,,,Chocolate powder and RTD dairy variants; also used as cereal brand via CPW,Nestlé,nesquik,nesquik,beverages,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
nesquik cereal,Nesquik Cereal,Nesquik Cereal,replace_or_add_market_scoped_owner,Current row for brand differs from proposed owner/scope architecture.,Cereal Partners Worldwide,nesquik cereal,nesquik cereal,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; kids/chocolate positioning,Cereal Partners Worldwide (Nestlé/General Mills JV),nesquik cereal,nesquik cereal,cereals,market_scoped,Canada / UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE|US_CANADA,,,en:united-states,Market-scoped cereal ownership; Joint Venture,Exception file assigns Nesquik Cereal North America to General Mills; Exception file assigns Nesquik Cereal North America to General Mills; Exception file assigns Nesquik Cereal ROW to CPW,both,yes
nesquik cereal,Nesquik Cereal,Nesquik Cereal,replace_or_add_market_scoped_owner,Current row for brand differs from proposed owner/scope architecture.,Cereal Partners Worldwide,nesquik cereal,nesquik cereal,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; kids/chocolate positioning,General Mills,nesquik cereal,nesquik cereal,cereals,market_scoped,US,market_specific_assignment,,,en:united-states,,Market-scoped cereal ownership; Joint Venture,Exception file assigns Nesquik Cereal North America to General Mills; Exception file assigns Nesquik Cereal North America to General Mills; Exception file assigns Nesquik Cereal ROW to CPW,both,yes
nestea,Nestea,Nestea,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nestea,nestea,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nestle,,,current_row_not_in_top_matrix,Current mapping row is Nestlé-related but brand is not in Nestlé top-company matrix.,Nestlé,nestle,nestle,snacks,CH,direct,,,,,,Canonical brand spelling without accent,,,,,,,,,,,,,,,yes
nestle pure life,Nestlé Pure Life,Nestlé Pure Life,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nestle pure life,nestle pure life,beverages,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nestle sustainably sourced cocoa,Nestlé Sustainably Sourced Cocoa,Nestlé Sustainably Sourced Cocoa,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nestle sustainably sourced cocoa,nestle sustainably sourced cocoa,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nestle vital,Nestlé Vital,Nestlé Vital,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nestle vital,nestle vital,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nestum,Nestum,Nestum,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nestum,nestum,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nesvita,Nesvita,Nesvita,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Cereal Partners Worldwide (Nestlé/General Mills JV),nesvita,nesvita,food_beverage_review,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture,Exception file brand not observed in official Nestlé A-Z extract used today,nestle_regional_exception_matrix,no
nido,Nido,Nido,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,nido,nido,powder_drinks,CH,direct,,,,,,Milk powder brand; strong in emerging markets,Nestlé,nido,nido,dairies,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
orgain,Orgain,Orgain,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,orgain,orgain,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
ovaltine,Ovaltine,Ovaltine,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Associated British Foods,ovaltine,ovaltine,food_beverage_review,market_scoped,Canada / UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE|US_CANADA,,,en:united-states,Licensed; Trademark / regional owner,Exception file brand not observed in official Nestlé A-Z extract used today,nestle_regional_exception_matrix,yes
ovaltine,Ovaltine,Ovaltine,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,ovaltine,ovaltine,food_beverage_review,market_scoped,US,market_specific_assignment,,,en:united-states,,Licensed; Trademark / regional owner,Exception file brand not observed in official Nestlé A-Z extract used today,nestle_regional_exception_matrix,yes
peptamen,Peptamen,Peptamen,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,peptamen,peptamen,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
perrier,Perrier,Perrier,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,perrier,perrier,beverages,CH,direct,,,,,,Sparkling mineral water,Nestlé,perrier,perrier,beverages,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
plant based and so good,Plant-based and so good!,Plant-based and so good!,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,plant based and so good,plant based and so good,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
pro plan veterinary diets,Pro Plan Veterinary Diets,Pro Plan Veterinary Diets,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,pro plan veterinary diets,pro plan veterinary diets,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
pure encapsulations,Pure Encapsulations,Pure Encapsulations,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,pure encapsulations,pure encapsulations,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
purina,PURINA,Purina,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,purina,purina,out_of_scope_petcare,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Exception source brand label: Purina,both,yes
purina one,PURINA ONE,PURINA ONE,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,purina one,purina one,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
purina pro plan,PURINA Pro Plan,PURINA Pro Plan,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,purina pro plan,purina pro plan,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
quality street,Quality Street,Quality Street,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,quality street,quality street,snacks,CH,direct,,,,,,Confectionery assortment; heritage/seasonal positioning,Nestlé,quality street,quality street,snacks,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
resource,Resource,Resource,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,resource,resource,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
roastelier by nescafe,Roastelier by Nescafé,Roastelier by Nescafé,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,roastelier by nescafe,roastelier by nescafe,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
rolo,Rolo,Rolo,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Hershey,rolo,rolo,snacks,market_scoped,US,market_specific_assignment,,,en:united-states,,Licensing Split,Nestlé exception-matrix row not present in official Nestlé A-Z extract used for the Nestlé matrix,global_corporate_exception_matrix,yes
rolo,Rolo,Rolo,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,rolo,rolo,snacks,market_scoped,Canada / UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE|US_CANADA,,,en:united-states,Licensing Split,Nestlé exception-matrix row not present in official Nestlé A-Z extract used for the Nestlé matrix,global_corporate_exception_matrix,yes
s pellegrino,S.Pellegrino,S.Pellegrino,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,s pellegrino,s pellegrino,beverages,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
sahne nuss,Sahne Nuss,Sahne Nuss,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,sahne nuss,sahne nuss,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
san pellegrino,,,current_row_not_in_top_matrix,Current mapping row is Nestlé-related but brand is not in Nestlé top-company matrix.,Nestlé,san pellegrino,san pellegrino,beverages,CH,direct,,,,,,Sparkling mineral water,,,,,,,,,,,,,,,yes
sanpellegrino,Sanpellegrino,Sanpellegrino,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,sanpellegrino,sanpellegrino,beverages,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
shredded wheat original,Shredded Wheat Original,Shredded Wheat Original,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,shredded wheat original,shredded wheat original,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
shreddies,Shreddies,Shreddies,replace_or_add_market_scoped_owner,Current row for brand differs from proposed owner/scope architecture.,Cereal Partners Worldwide,shreddies,shreddies,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal in several markets via CPW,Nestlé,shreddies,shreddies,cereals,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
smarties,Smarties,Smarties,modify_scope_or_metadata,"Same owner found, but proposed source changes status/scope/metadata.",Nestlé,smarties,smarties,snacks,CH,direct,,,,,,Chocolate confectionery; not US Smarties candy,Nestlé,smarties,smarties,snacks,market_scoped,Canada / UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE|US_CANADA,,,en:united-states,Name Collision / Independent,Exception file assigns Smarties US to Smarties Candy Company,both,yes
smarties,Smarties,Smarties,replace_or_add_market_scoped_owner,Current row for brand differs from proposed owner/scope architecture.,Nestlé,smarties,smarties,snacks,CH,direct,,,,,,Chocolate confectionery; not US Smarties candy,Smarties Candy Company (US),smarties,smarties,snacks,market_scoped,US,market_specific_assignment,,,en:united-states,,Name Collision / Independent,Exception file assigns Smarties US to Smarties Candy Company,both,yes
solgar,Solgar,Solgar,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,solgar,solgar,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
starbucks coffee at home,Starbucks Coffee At Home,Starbucks Coffee At Home,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,starbucks coffee at home,starbucks coffee at home,food_beverage_review,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Global packaged coffee rights,Exception file assigns Starbucks packaged/at-home global retail channels to Nestlé; Exception file assigns Starbucks packaged/at-home global retail channels to Nestlé,both,no
stouffer s,Stouffer's,Stouffer's,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,stouffer s,stouffer s,food_beverage_review,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list; duplicate listing collapsed to one matrix row,both,no
supercoat,Supercoat,Supercoat,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,supercoat,supercoat,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
terra canis,Terra Canis,Terra Canis,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,terra canis,terra canis,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
thomy,Thomy,Thomy,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,thomy,thomy,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
tidy cats,Tidy Cats,Tidy Cats,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,tidy cats,tidy cats,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
toll house,Toll House,Toll House,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,toll house,toll house,snacks,CH,direct,,,,,,Baking morsels/cookie dough; US-oriented snack/baking brand,Nestlé,toll house,toll house,snacks,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
trix cereal,Trix Cereal,Trix Cereal,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,trix cereal,trix cereal,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
vitaflo,Vitaflo,Vitaflo,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,vitaflo,vitaflo,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
vital proteins,Vital Proteins,Vital Proteins,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,vital proteins,vital proteins,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
vittel,Vittel,Vittel,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,vittel,vittel,beverages,CH,direct,,,,,,Still mineral water,Nestlé,vittel,vittel,beverages,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
yiyang,Yiyang,Yiyang,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,yiyang,yiyang,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
