variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
pop-tart,pop tart,punctuation,2,2,high,confirm,Non-executable guardrail; exact reviewed evidence required.
puisseguin saint-emilion,puisseguin saint emilion,punctuation,2,2,high,confirm,Non-executable guardrail; exact reviewed evidence required.
save-a-lot,save a lot,punctuation,2,2,high,confirm,Non-executable guardrail; exact reviewed evidence required.
365 - whole foods market,365,prefix,2,81,high,confirm,Non-executable guardrail; exact reviewed evidence required.
365 by whole foods,365,prefix,2,81,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ahold licensing sarl,ahold,prefix,2,637,high,confirm,Non-executable guardrail; exact reviewed evidence required.
albert heijn bio,albert heijn,prefix,2,170,high,confirm,Non-executable guardrail; exact reviewed evidence required.
aldi dessert menu,aldi,prefix,2,1305,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
aldi harvest morn,aldi,prefix,2,1305,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
aldi sun quench,aldi,prefix,2,1305,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
alesto lidl,Alesto,prefix,2,110,high,confirm,Non-executable guardrail; exact reviewed evidence required.
andros foods usa inc,andros,prefix,2,268,high,confirm,Non-executable guardrail; exact reviewed evidence required.
andros sport,Andros Sport,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=not E.Leclerc; source=eleclerc_private_label_review_20260830
annie's organic,annie's,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arla foods production llc,arla,prefix,2,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arla jord,arla,prefix,2,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
asda chosen by you,Asda Chosen by You,reviewed_asda_private_label,3,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
asda just essentials,Just Essentials by Asda,reviewed_asda_private_label,3,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
atkins endulge,atkins,prefix,2,120,high,confirm,Non-executable guardrail; exact reviewed evidence required.
auchan discount,Auchan Discount,reviewed_auchan_private_label,2,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Gorgonzola AOP
auchan le traiteur,auchan,prefix,2,5928,high,confirm,Non-executable guardrail; exact reviewed evidence required.
auchan production,auchan,prefix,2,5928,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bahlsen inc.,bahlsen,prefix,2,68,high,confirm,Non-executable guardrail; exact reviewed evidence required.
balocco s.p.a.,balocco,prefix,2,109,high,confirm,Non-executable guardrail; exact reviewed evidence required.
barilla america inc.,barilla,prefix,2,502,high,confirm,Non-executable guardrail; exact reviewed evidence required.
barilla france sas,barilla,prefix,2,502,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bauli s.p.a.,bauli,prefix,2,151,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bear 'n beaver,bear,prefix,2,55,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bel et bio,bel,prefix,2,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bel nordic,bel,prefix,2,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bel normande,bel,prefix,2,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
belgioioso park cheese llc,belgioioso,prefix,2,85,high,confirm,Non-executable guardrail; exact reviewed evidence required.
belvita breakfast,belvita,prefix,2,196,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio bauern,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio elegance,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio express,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio farm,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio fort & vert,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio primo,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio pyrenees,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio selfies,bio,prefix,2,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio village bebe,Bio Village Bébé,reviewed_eleclerc_private_label,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
bio village leclerc,bio,prefix,2,60,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
bio village marque repere,Bio Village,reviewed_eleclerc_private_label,1,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
boni bio,boni,prefix,2,129,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bonneterre et compagnie,bonneterre,prefix,2,405,high,confirm,Non-executable guardrail; exact reviewed evidence required.
calbee north america llc.,calbee,prefix,2,59,high,confirm,Non-executable guardrail; exact reviewed evidence required.
candia baby,candia,prefix,2,225,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carambar and co,carambar,prefix,2,122,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cereal vit,cereal,prefix,2,94,high,confirm,Non-executable guardrail; exact reviewed evidence required.
charles & alice inc.,charles & alice,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
chef select lidl,Chef Select,prefix,2,53,high,confirm,Non-executable guardrail; exact reviewed evidence required.
clear american ice,clear american,prefix,2,58,high,confirm,Non-executable guardrail; exact reviewed evidence required.
clif zbar,clif,prefix,2,209,high,confirm,Non-executable guardrail; exact reviewed evidence required.
clipper tea,clipper,prefix,2,147,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca-cola europacific partners norge as,coca-cola,prefix,2,670,high,confirm,Non-executable guardrail; exact reviewed evidence required.
compal essencial,compal,prefix,2,64,high,confirm,Non-executable guardrail; exact reviewed evidence required.
comte aop,comte,prefix,2,75,high,confirm,Non-executable guardrail; exact reviewed evidence required.
comte de senneval,comte,prefix,2,75,high,confirm,Non-executable guardrail; exact reviewed evidence required.
comte marcel petite,comte,prefix,2,75,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cora & match,Cora,reviewed_cora_carrefour_acquisition,,,high,confirm,Cora brand retained as consumer-facing brand; owner routed to Carrefour after Carrefour finalized acquisition of Cora/Match in France on 2024-07-01. source=cora_carrefour_acquisition_review_20260901
crownfield (lidl),Crownfield,prefix,2,278,high,confirm,Non-executable guardrail; exact reviewed evidence required.
danone activia,danone,prefix,2,1284,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
deluxe by lidl,Deluxe,prefix,2,317,high,confirm,Non-executable guardrail; exact reviewed evidence required.
divine chocolate,divine,prefix,2,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
dolce gusto espresso,dolce gusto,prefix,2,67,high,confirm,Non-executable guardrail; exact reviewed evidence required.
edeka herzstucke,edeka,prefix,2,73,high,confirm,Non-executable guardrail; exact reviewed evidence required.
elephant house,elephant,prefix,2,118,high,confirm,Non-executable guardrail; exact reviewed evidence required.
entenmann's classic,entenmann's,prefix,2,107,high,confirm,Non-executable guardrail; exact reviewed evidence required.
entenmann's little bites,entenmann's,prefix,2,107,high,confirm,Non-executable guardrail; exact reviewed evidence required.
favorina chocolats de fete,favorina,prefix,2,243,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ferrero collection eggs,ferrero,prefix,2,529,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ferrero u.s.a. incorporated,ferrero,prefix,2,529,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ferris nut co,ferris,prefix,2,67,high,confirm,Non-executable guardrail; exact reviewed evidence required.
franz bake shoppe,franz,prefix,2,107,high,confirm,Non-executable guardrail; exact reviewed evidence required.
franz bakery,franz,prefix,2,107,high,confirm,Non-executable guardrail; exact reviewed evidence required.
frey produce,frey,prefix,2,152,high,confirm,Non-executable guardrail; exact reviewed evidence required.
galbani professionale,galbani,prefix,2,228,high,confirm,Non-executable guardrail; exact reviewed evidence required.
galler chocolatier,galler,prefix,2,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
gastone lago elledi,gastone lago,prefix,2,62,high,confirm,Non-executable guardrail; exact reviewed evidence required.
gayelord hauser dieteticien,gayelord hauser,prefix,2,56,high,confirm,Non-executable guardrail; exact reviewed evidence required.
gerentes sa,gerentes,prefix,2,59,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ghirardelli chocolate company.,ghirardelli,prefix,2,137,high,confirm,Non-executable guardrail; exact reviewed evidence required.
good & gather plant based,good & gather,prefix,2,217,high,confirm,Non-executable guardrail; exact reviewed evidence required.
good health kids,good health,prefix,2,58,high,confirm,Non-executable guardrail; exact reviewed evidence required.
grace harbor farms,grace,prefix,2,83,high,confirm,Non-executable guardrail; exact reviewed evidence required.
granarolo group,granarolo,prefix,2,114,high,confirm,Non-executable guardrail; exact reviewed evidence required.
gu energy,gu,prefix,2,102,high,confirm,Non-executable guardrail; exact reviewed evidence required.
h-e-b bake shop,h-e-b,prefix,2,482,high,confirm,Non-executable guardrail; exact reviewed evidence required.
h-e-b mi tienda,h-e-b,prefix,2,482,high,confirm,Non-executable guardrail; exact reviewed evidence required.
h-e-b mootopia,h-e-b,prefix,2,482,high,confirm,Non-executable guardrail; exact reviewed evidence required.
haribo of america inc.,haribo,prefix,2,1685,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ikea food,ikea,prefix,2,203,high,confirm,Non-executable guardrail; exact reviewed evidence required.
intermarche paturages,Pâturages,reviewed_intermarche_private_label,1,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
italiamo lidl,Italiamo,prefix,2,148,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jacob's creek,jacob's,prefix,2,55,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jamba juice company,jamba juice,prefix,2,162,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jardin bio logique,jardin bio,prefix,2,407,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kellogg's apple jacks,apple jacks,prefix,2,1337,high,confirm,manual correction: preserve specific cereal brand
kellogg's town house,town house,prefix,2,1337,high,confirm,manual correction: preserve specific cereal brand
kemps select,kemps,prefix,2,52,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kind kids,kind,prefix,2,328,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kind thins,kind,prefix,2,328,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kraft food,kraft,prefix,2,280,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
kroger big k,kroger,prefix,2,760,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lactalis consommation hors foyer (l.c.h.f.),lactalis,prefix,2,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lactalis france,lactalis,prefix,2,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lactel max,lactel,prefix,2,220,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lactel professionnel,lactel,prefix,2,220,high,confirm,Non-executable guardrail; exact reviewed evidence required.
larabar kids,larabar,prefix,2,146,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lavazza - luigi lavazza s.p.a.,lavazza,prefix,2,68,high,confirm,Non-executable guardrail; exact reviewed evidence required.
leader price bio,leader price,prefix,2,2210,high,confirm,Non-executable guardrail; exact reviewed evidence required.
leclerc traiteur,leclerc,prefix,2,1216,high,confirm,Non-executable guardrail; exact reviewed evidence required.
les 3 meuniers leclerc,Les 3 Meuniers,reviewed_eleclerc_private_label,1,,high,confirm,reviewed supplemental E.Leclerc Leclerc/E.Leclerc orphan decision; company_decision=E.Leclerc; source=eleclerc_leclerc_orphan_review_20260831
lidl dairy manor,Lidl,prefix,2,1687,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl organic,Lidl,prefix,2,1687,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lidl snaktastic,Lidl,prefix,2,1687,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl solevita,Lidl,prefix,2,1687,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lima food,lima,prefix,2,190,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lindt & sprungli (nordic nuf ),lindt,prefix,2,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lindt & sprungli gmbh,lindt,prefix,2,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lindt & sprungli lindt,lindt,prefix,2,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lindt connaisseurs,lindt,prefix,2,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lofthouse of fleetwood ltd.,lofthouse,prefix,2,54,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotte confectionery co. ltd.,lotte,prefix,2,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotus food,lotus,prefix,2,233,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotus rice,lotus,prefix,2,233,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotus rouge,lotus,prefix,2,233,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lu prince,lu,prefix,2,667,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
lucerne farms,lucerne,prefix,2,138,high,confirm,Non-executable guardrail; exact reviewed evidence required.
luna e terra,luna,prefix,2,69,high,confirm,Non-executable guardrail; exact reviewed evidence required.
luna rossa bake shop,luna,prefix,2,69,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lustucru food service,lustucru,prefix,2,451,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lustucru lustucru selection,lustucru,prefix,2,451,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s gastropub,m&s,prefix,2,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s plant kitchen,m&s,prefix,2,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s the bakery,m&s,prefix,2,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m-classic - migros industrie,m-classic,prefix,2,52,high,confirm,Non-executable guardrail; exact reviewed evidence required.
made good  riverside natural foods,made good,prefix,2,58,high,confirm,Non-executable guardrail; exact reviewed evidence required.
made good mornings,made good,prefix,2,58,high,confirm,Non-executable guardrail; exact reviewed evidence required.
maitre jean pierre lidl,maitre jean pierre,prefix,2,124,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mama chia,mama,prefix,2,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mama ginelli's,mama,prefix,2,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mama mancini,mama,prefix,2,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
marks & spencer (m&s food),marks & spencer,prefix,2,1051,high,confirm,Non-executable guardrail; exact reviewed evidence required.
marque repere leclerc,Marque Repère,reviewed_eleclerc_private_label,2,,high,confirm,reviewed E.Leclerc France decision; company_decision=E.Leclerc; source=eleclerc_private_label_review_20260830
mars chocolat france,mars,prefix,2,308,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mars chocolate,mars,prefix,2,308,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mars norge,mars,prefix,2,308,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mars twix,mars,prefix,2,308,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mccain foods usa inc.,mccain,prefix,2,76,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mcennedy lidl,McEnnedy,prefix,2,67,high,confirm,Non-executable guardrail; exact reviewed evidence required.
milbona lidl,Milbona,prefix,2,703,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mission foods,mission,prefix,2,118,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mission mightyme,mission,prefix,2,118,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monbana chocolaterie,monbana,prefix,2,177,high,confirm,Non-executable guardrail; exact reviewed evidence required.
morrisons free from,morrisons,prefix,2,821,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
mulino bianco barilla,mulino bianco,prefix,2,97,high,confirm,Non-executable guardrail; exact reviewed evidence required.
muller myprotein,muller,prefix,2,170,high,confirm,Non-executable guardrail; exact reviewed evidence required.
naked organic,naked,prefix,2,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nature valley crunchy,nature valley,prefix,2,359,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nature's promise kids,nature's promise,prefix,2,147,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nescafe azera,nescafe,prefix,2,305,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle abuelita,nestle,prefix,2,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle coffeemate,nestle,prefix,2,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle kitkat,kitkat,prefix,2,3514,high,manual_review,manual correction: preserve KitKat brand
nestle nespresso,nestle,prefix,2,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle nesquik,nestle,prefix,2,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle nido,nestle,prefix,2,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle nutrition,nestle,prefix,2,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
netto md,Stardrink,reviewed_retailer_candidate_false_positive,1,,high,confirm,reviewed Netto France decision; company_decision=not Netto; source=netto_private_label_review_20260831
newman's own inc.,newman's own,prefix,2,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
old dutch foods inc,old dutch,prefix,2,101,high,confirm,Non-executable guardrail; exact reviewed evidence required.
old orchard healthy balance,old orchard,prefix,2,86,high,confirm,Non-executable guardrail; exact reviewed evidence required.
orangina schweppes france,orangina,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
paturages bio,Pâturages,reviewed_intermarche_private_label,2,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
pez candy inc.,pez,prefix,2,64,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pico food,pico,prefix,2,56,high,confirm,Non-executable guardrail; exact reviewed evidence required.
polar seltzer,polar,prefix,2,84,high,confirm,Non-executable guardrail; exact reviewed evidence required.
post foods llc.,post,prefix,2,164,high,confirm,Non-executable guardrail; exact reviewed evidence required.
post great grains,post,prefix,2,164,high,confirm,Non-executable guardrail; exact reviewed evidence required.
prime bites mini,prime,prefix,2,86,high,confirm,Non-executable guardrail; exact reviewed evidence required.
prime burger,prime,prefix,2,86,high,confirm,Non-executable guardrail; exact reviewed evidence required.
prime planet tostones,prime,prefix,2,86,high,confirm,Non-executable guardrail; exact reviewed evidence required.
prince & spring,prince,prefix,2,67,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
publix bakery,publix,prefix,2,223,high,confirm,Non-executable guardrail; exact reviewed evidence required.
quai sud france,quai sud,prefix,2,54,high,confirm,Non-executable guardrail; exact reviewed evidence required.
quaker chewy,quaker,prefix,2,497,high,confirm,Non-executable guardrail; exact reviewed evidence required.
quaker oats so simple,quaker,prefix,2,497,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
quaker protein,quaker,prefix,2,497,high,confirm,Non-executable guardrail; exact reviewed evidence required.
reese's pieces,reese's,prefix,2,314,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ritz crackers,ritz,prefix,2,78,high,confirm,Non-executable guardrail; exact reviewed evidence required.
rohan chocolatier,rohan,prefix,2,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
rohan confiserie,rohan,prefix,2,61,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal chai,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal farms,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal green,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal hollandia,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal kitchens inc,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal kitchens inc.,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal swan,royal,prefix,2,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsburys so organic,sainsburys,prefix,2,207,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
sicard boulangerie,sicard,prefix,2,83,high,confirm,Non-executable guardrail; exact reviewed evidence required.
signature brands llc,signature,prefix,2,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
signature tea co.,signature,prefix,2,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply 7 snacks,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply apple,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply dara inc,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply doritos,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply eight,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply fruity,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply light,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply natural,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply original,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply sprouted,simply,prefix,2,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
snack factory inc,snack factory,prefix,2,66,high,confirm,Non-executable guardrail; exact reviewed evidence required.
snackrite (aldi),snackrite,prefix,2,73,high,confirm,Non-executable guardrail; exact reviewed evidence required.
snak club inc.,snak club,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
societe des caves,societe,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
societe dv,societe,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
societe dv france,societe,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sondey lidl,Sondey,prefix,2,378,high,confirm,Non-executable guardrail; exact reviewed evidence required.
spar premium,spar,prefix,2,208,high,confirm,Non-executable guardrail; exact reviewed evidence required.
spar vital,spar,prefix,2,208,high,confirm,Non-executable guardrail; exact reviewed evidence required.
specially selected aldi,specially selected,prefix,2,182,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sprouts market corner,sprouts,prefix,2,128,high,confirm,Non-executable guardrail; exact reviewed evidence required.
st michel biscuits,st michel,prefix,2,534,high,confirm,Non-executable guardrail; exact reviewed evidence required.
star snacks,star,prefix,2,69,high,confirm,Non-executable guardrail; exact reviewed evidence required.
starbucks via,starbucks,prefix,2,816,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
stater bros markets,stater bros,prefix,2,94,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sunrise creative gourmet,sunrise,prefix,2,66,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sunrise flour mill,sunrise,prefix,2,66,high,confirm,Non-executable guardrail; exact reviewed evidence required.
superior nut & candy co.,superior nut & candy,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
teisseire zero,teisseire,prefix,2,297,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tesco finest*,Tesco Finest,reviewed_tesco_private_label,110,,high,confirm,reviewed Tesco UK/IE decision; company_decision=Tesco; source=tesco_private_label_review_uk_ie_20260901
tesco value,Tesco Value,reviewed_tesco_private_label,2,,high,confirm,reviewed Tesco UK/IE decision; company_decision=Tesco; source=tesco_private_label_review_uk_ie_20260901
tetley tea company jamaica ltd.,tetley,prefix,2,120,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the bakery asda,The Bakery at Asda,reviewed_asda_private_label,1,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
the bakery at walmart,the bakery,prefix,2,217,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the bakery bake with pride,the bakery,prefix,2,217,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the bakery baron,the bakery,prefix,2,217,high,confirm,Non-executable guardrail; exact reviewed evidence required.
theo meneau,theo,prefix,2,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tillamook country smoker inc.,tillamook,prefix,2,211,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tipiak restauration,tipiak,prefix,2,320,high,confirm,Non-executable guardrail; exact reviewed evidence required.
trident layers,trident,prefix,2,135,high,confirm,Non-executable guardrail; exact reviewed evidence required.
trident white,trident,prefix,2,135,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tropicana essentiels,tropicana,prefix,2,560,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tropicana pure premium,tropicana,prefix,2,560,high,confirm,Non-executable guardrail; exact reviewed evidence required.
u fit,u,prefix,2,5637,high,confirm,Non-executable guardrail; exact reviewed evidence required.
u saveur,U Saveurs,reviewed_groupe_u_private_label,2,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
u traiteur,u,prefix,2,5637,high,confirm,Non-executable guardrail; exact reviewed evidence required.
v8 energy,v8,prefix,2,105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
vitasia japan,vitasia,prefix,2,51,high,confirm,Non-executable guardrail; exact reviewed evidence required.
vitasia thai,vitasia,prefix,2,51,high,confirm,Non-executable guardrail; exact reviewed evidence required.
waitrose duchy,waitrose,prefix,2,740,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
waitrose essential,waitrose,prefix,2,740,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
walkers nonsuch,walkers,prefix,2,336,,manual_review,reviewed product-level evidence required.
wegmans food market inc.,wegmans,prefix,2,943,high,confirm,Non-executable guardrail; exact reviewed evidence required.
weis markets,weis,prefix,2,189,high,confirm,Non-executable guardrail; exact reviewed evidence required.
whole foods market ip lp,whole foods,prefix,2,89,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wilton enterprises inc,wilton,prefix,2,52,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wise woodworks,wise,prefix,2,89,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yogi tea biologique,yogi tea,prefix,2,91,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yoplait skyr,yoplait,prefix,2,826,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yoplait source,yoplait,prefix,2,826,high,confirm,Non-executable guardrail; exact reviewed evidence required.
almond brothers llc,almond brothers,geo_suffix,2,2,high,,suffix removed: 'llc'
amaretti virginia srl,amaretti virginia,geo_suffix,2,3,high,,suffix removed: 'srl'
ava's snacks llc,ava's snacks,geo_suffix,2,3,high,,suffix removed: 'llc'
beanitos inc,beanitos,geo_suffix,2,7,high,,suffix removed: 'inc'
bee international,bee,geo_suffix,2,3,high,,suffix removed: 'international'
bolletje bv,bolletje,geo_suffix,2,7,high,,suffix removed: 'bv'
celebrity international,celebrity,geo_suffix,2,6,high,,suffix removed: 'international'
death wish coffee co,death wish coffee,geo_suffix,2,2,high,,suffix removed: 'co'
dolce italia foods inc,dolce italia foods,geo_suffix,2,5,high,,suffix removed: 'inc'
erdbar gmbh,erdbar,geo_suffix,2,6,high,,suffix removed: 'gmbh'
essential baking company,essential baking,geo_suffix,2,5,high,,suffix removed: 'company'
goldkenn switzerland,goldkenn,geo_suffix,2,7,high,,suffix removed: 'switzerland'
good culture llc,good culture,geo_suffix,2,21,high,,suffix removed: 'llc'
