region,beverage_view_segment,record_count,product_examples
FRANCE|DACH|SOUTHERN_EUROPE,ready_to_drink_beverages,56,"Aloe vera | Fanta grape | Elements Coconut Water | Bevanda Nocciola | Smoothie mix fresas, plátano y arándanos | Pietra biera corsa ambrée à la châtaigne | 100% pur jus jus d'ananas | Capri-Sun Orange & Peach | Capri-Sun Mango & Maracuyá | EKU 28"
FRANCE|DACH|SOUTHERN_EUROPE,unknown_beverage_segment,40,Tè nero aromatizzato pesca | IKEA VINTERSAGA. | Smoothies mela | Gelantine | Suc de mere | Soya classic | Revolt Killer Cherry | Feigenlikör Original | BECK'S Gold | Citrus
FRANCE|DACH|SOUTHERN_EUROPE|BENELUX,unknown_beverage_segment,1,Multivitamínový džus
FRANCE|DACH|SOUTHERN_EUROPE|BENELUX|NORDICS|UK_IE,unknown_beverage_segment,1,Soy Sauce
FRANCE|DACH|SOUTHERN_EUROPE|BENELUX|UK_IE,beverage_preparations_and_alcohol,1,Thé vert nuit à Versailles
FRANCE|DACH|SOUTHERN_EUROPE|BENELUX|UK_IE,ready_to_drink_beverages,1,"Provamel Biologischer Sojadrink, Natur Ungesüβt 1L"
FRANCE|DACH|SOUTHERN_EUROPE|NORDICS|UK_IE,beverage_preparations_and_alcohol,1,Cerveza
FRANCE|DACH|SOUTHERN_EUROPE|NORDICS|UK_IE,ready_to_drink_beverages,1,Blonde
FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,5,English Breakfast Tea | Jus de citron vert | Golden Syrup | Martini Bianco | Café au Lait
FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,2,Fanta Naranja | fanta Orange
FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,1,h
FRANCE|DACH|SOUTHERN_EUROPE|US_CANADA,beverage_preparations_and_alcohol,1,Chocolat en poudre
FRANCE|DACH|SOUTHERN_EUROPE|US_CANADA,ready_to_drink_beverages,3,"Chai | Coca Cola | Kas citron 🍋1,5 L"
FRANCE|DACH|SOUTHERN_EUROPE|US_CANADA,unknown_beverage_segment,1,Goody Cao
FRANCE|DACH|UK_IE,beverage_preparations_and_alcohol,40,"Thé Orange Cannelle | Cold Infuse Passionfruit, Mango & Blood Orange | Lager beer | Retsina Vin Blanc resiné Grec | 2014 | Smooth - Spiced Gold - Rum Spirit | Latte espresso | Comtes de champagne Blanc de Blancs 2002 | Champagne Blue Top Brut | Zoller-Hof"
FRANCE|DACH|UK_IE,ready_to_drink_beverages,33,"Volvic Touch Wasser | Dryck Fläder | Dryck Lingon | Dryck Nypon Rosehip drink | Fanta Lemon | Volvic Aro Zitrone-Limette 150cl PET | Volvic Aro Zitrone-Limette 75cl PET | Evian Mineralwasser, PET, 1.5L | Badoit 6x1 L PET | Sojade with kefir cultures"
FRANCE|DACH|UK_IE,unknown_beverage_segment,6,Elderflower | Schwarze johannisbeeren | Pomerančový džus | Bio gyömbér shot | Jabłko Wiśnia
FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,Espresso Classico - Ganze Bohne
FRANCE|DACH|UK_IE|US_CANADA,ready_to_drink_beverages,1,Eau de coco
FRANCE|DACH|US_CANADA,beverage_preparations_and_alcohol,14,"Hershey’s Syrup | crème de coco Kokos | Hot cocoa mix | Chardonnay | Cabernet Sauvignon 2012 | Chardonnay 2012 | Green Tea with Ginseng and Honey | Toucan Mango | Pg Tips, Pyramid Tea Bags, Black Tea | Family Cappuccino Chocolate"
FRANCE|DACH|US_CANADA,ready_to_drink_beverages,16,"Korma | Coconut Juice | Lychee Drink | Coconut Water | coconut water with pineapple | Foco, coconut water | Young coconut juice with pulp | Nectar apricot | Sparkling artesian water from norway | Classic energy drink"
FRANCE|DACH|US_CANADA,unknown_beverage_segment,7,Sphère plaisir | Coffee mate | Vanilla Caramel Zero Sugar Coffee Mate | dsdsds | Milde Orange | Bio Karottensaft | Zitrone
FRANCE|NORDICS,beverage_preparations_and_alcohol,17,"IPA | Thé Noir Finest Earl Grey Vrac | Thé vert bio | Rhum ambré | François Lurton ""fumées Blanches"" Rosé 2010 | Thé de l'Avent | Senseo Kaffeepads De | Organic Mint Matcha Green Green Tea Sachets | Ginger Beer Bio | The"
FRANCE|NORDICS,ready_to_drink_beverages,35,"Grapeberry Lemonade | Sparkling spring water | Watermelon soda | Neumakter Lammsbrau | Sprite | Coca Cola | Raw Energy Raspberry & Blueberry | Coca cola zero sucre | Coca Cola Zero sucre | Coca-Cola Classic 0,33l"
FRANCE|NORDICS,unknown_beverage_segment,11,"Classic Premium Non-Alcoholic | Nutty Almond | Eplemost | Festis - Cactus Lime | Brooklyn Special Effects 0,33l | ORANGE | Blend Apl Straw Rasp Blu | Varma Koppen Ost & Broccoli Mängd färdig soppa: 3 | Mango Mania | Hydrate"
FRANCE|NORDICS|DACH,ready_to_drink_beverages,1,Boisson sport Saveur Cool Blue
FRANCE|NORDICS|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,Capsules NESCAFE DOLCE GUSTO Flat White 16 Capsules 187.2g
FRANCE|NORDICS|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Blue refresh zero bebida energética baja en azúcares
FRANCE|NORDICS|SOUTHERN_EUROPE|DACH,beverage_preparations_and_alcohol,1,Lipton Vanilla Caramel Pyramide 20ps
FRANCE|NORDICS|SOUTHERN_EUROPE|US_CANADA,ready_to_drink_beverages,1,Fanta Berry
FRANCE|NORDICS|UK_IE,beverage_preparations_and_alcohol,2,Pukka Trois Camomilles | NON-ALCOHOLIC BEER
FRANCE|NORDICS|UK_IE,ready_to_drink_beverages,2,Tart Cherry Juice | Ubuntu Cola
FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,816,Concentrado de Hierbe | Infuso erbe al limone gr 50 | boisson instantanée tea | Formula 1 Healthy Meal | Liftoff | Polvo para preparar bebidas | Fórmula 1 sabor a frambuesa y arándanos | Twinings Lemon Flavoured Tea | Twinings Tee 25X2G Prince Of Wales Uutuustuote | Orangery Of Lady Grey
FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,1273,boisson à l'aloe vera | aloe | Boisson Nutritionnelle | boisson nutritionnelle Formula 1 Strawberry | Pineapple Ananas | Jus D'Aloe Vera - 946 ML - Lily of the Desert | Juice light cranberry classic | Cranberry Drink | Cranberry classic | Sparkling Melograno E Arancia Beverage
FRANCE|SOUTHERN_EUROPE,unknown_beverage_segment,555,CR7 Drive | Lait d'amandes gout cappucino | Apple Earpods Binaural écouteur Blanc MMTN2ZM / a | Suc de préssec i raïm | Confiture extra framboise | Horchata de chufa | Premium Pils | Ginger grizzly | Cacao amaro in polvere | Shandy
FRANCE|SOUTHERN_EUROPE|BENELUX,ready_to_drink_beverages,2,7 triple blond | Soy milk
FRANCE|SOUTHERN_EUROPE|BENELUX|NORDICS|DACH|UK_IE,ready_to_drink_beverages,1,Sol
FRANCE|SOUTHERN_EUROPE|BENELUX|UK_IE,beverage_preparations_and_alcohol,1,Bière blonde
FRANCE|SOUTHERN_EUROPE|BENELUX|US_CANADA,beverage_preparations_and_alcohol,1,Thé au rooibos Bio pêche
FRANCE|SOUTHERN_EUROPE|DACH,beverage_preparations_and_alcohol,19,"G.H. MUMM CHAMPAGNE Cordon Rouge | Grenadine Le sirop | Bière aromatisée Tequila | Café au lait Chicorée | SANGRIA DOM JOSUE Boisson aromatisée à l'extrait d'agrumes, produite en France - Au vin d'Espagne | Lait de coco | Weissbier Munich Wheat Beer | Café au lait | Broskev a ibišek | Cerveja C/Álcool Sagres 25cl"
FRANCE|SOUTHERN_EUROPE|DACH,ready_to_drink_beverages,29,"Winter dreams | Cachaça Aguacana, 37,5° | Cafe | Powertabs antioxidant | 100% pur jus orange sans pulpe | Latte Soia Natural Senza Zuccheri | pepsi | Fanta | Fanta lemon | Soja maravillosa, manzana"
FRANCE|SOUTHERN_EUROPE|DACH,unknown_beverage_segment,13,Brune | Mandorla | Água Mineral Natural Gasocarbónica | Guaraná | Sumol Ananás | Succo mirtillo | Nettare Pesca | the san benedetto pesca | Thè al limone | Gazzosa Ville
FRANCE|SOUTHERN_EUROPE|DACH|UK_IE,ready_to_drink_beverages,1,Coca Cola
FRANCE|SOUTHERN_EUROPE|DACH|UK_IE,unknown_beverage_segment,2,"Undercurrent | Daura, Damm"
FRANCE|SOUTHERN_EUROPE|NORDICS,ready_to_drink_beverages,3,Barista soia | Tropisk Juice | Vitamin water recharge
FRANCE|SOUTHERN_EUROPE|NORDICS,unknown_beverage_segment,1,Džus z klementinek
FRANCE|SOUTHERN_EUROPE|NORDICS|DACH|UK_IE,ready_to_drink_beverages,1,Evian 75cl PET
FRANCE|SOUTHERN_EUROPE|NORDICS|UK_IE,unknown_beverage_segment,1,Corona Extra
FRANCE|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,11,Grimbergen 33 cl Grimbergen Double Ambrèe 6.5 DEGRE ALCOOL | Jus d'orange à base de concentré | Original drinking chocolate | Coconut Milk Light | Pukka Elderberry & Echinacea 20 poser | Supreme matcha green | Refresco de té negro con limón sin azúcar sin calorías | Nesquik Chocolate Flavour | Amaretto disaronno etro | Damm Premium Quality Non Alcoholic Lager Beer
FRANCE|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,22,Volvic Sports Cap 1000 ML x 1 | JUS DE CLÉMENTINE 100% pur jus | Kong Strong Wild Power Energy Drink Classic | Diet | Diet Pepsi 330ml can | Brecon Carreg Natural Still Mineral Water | Cherryade Can | Irn bru | Tesco Gold Coffee 200G | 5 Zero Electrolyte Sports Drink Citrus Flavour
FRANCE|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,4,Cream Jerez Doble | High Five Zero Electrolyte Berry | Clássico MAÇÃ Néctar | Watermelon
FRANCE|SOUTHERN_EUROPE|UK_IE|US_CANADA,ready_to_drink_beverages,1,Coconut Water With Pressed Coconut
FRANCE|SOUTHERN_EUROPE|US_CANADA,beverage_preparations_and_alcohol,5,"Chocolate essential vitamins & minerals, chocolate | Flying Cauldron Butterscotch Beer | Cidre ARTISANAL de Bretagne IGP Brut Cidrerie artisanale Les Celliers de l'Odet | Té verde, jengibre y cúrcuma | Thé infusé glacé bio saveur menthe du Maroc"
FRANCE|SOUTHERN_EUROPE|US_CANADA,ready_to_drink_beverages,8,"Mango fruit juice drink | Orange Soda | Organic Unsweetened Almond Non-Dairy Beverage Vanilla | Black cherry soda | Aloe Vera Drink | Aloe vera juice drink | Bergotto | 7up, free, flavoured soft drink with sweeteners, lemon and lime"
FRANCE|SOUTHERN_EUROPE|US_CANADA,unknown_beverage_segment,4,Mango Punch | Melograno E Arancia Sparkling Pomegranate & Orange Beverage | Pony Malta
FRANCE|UK_IE,beverage_preparations_and_alcohol,271,Diet sparkling fiery ginger beer | American Laid Back IPA | Jasmine green tea | Flat White Porter | Torla Rioja | Gin & rose lemonade | Pure China Green Sencha Tea Pyramids | Green tea | 8 instant cappuccino sachets | Christmas Cassic Tea
FRANCE|UK_IE,ready_to_drink_beverages,504,"Smoothie Strawberry & Banana | Yorkshire Gold | Iced Tea Spanish Peach | Jus pressé ananas, gingembre, pomme, citron | Smoothie super Berry | Aloe Vera Grape & Apple Juice | Smoothie Orange, Carrot & Mango | CRANBERRY & RASPERRY JUICE DRINK | Beetroot juice | Fresh Drinking Coconut"
FRANCE|UK_IE,unknown_beverage_segment,71,Brita Kettle | Taste the Difference Vintage Cheddar Mac & Cheese | HOT SHOT | The white one or purple one. Organic!! | La Fourragere | Gogo Squeez | Juiced Berry medley | Nozeco Fine Sparkling | 100% Pure Apple | 100% pure orange
FRANCE|UK_IE|BENELUX,ready_to_drink_beverages,1,Tomato Juice from concentrate
FRANCE|UK_IE|DACH,ready_to_drink_beverages,1,Special export
FRANCE|UK_IE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Free
FRANCE|UK_IE|US_CANADA,beverage_preparations_and_alcohol,3,"Aroy-D, Coconut Cream | Bournville Cocoa | Pukka Te Chamomile, Vanilla, Honey&Urter 20 poser"
FRANCE|UK_IE|US_CANADA,ready_to_drink_beverages,5,Pure coconut water | Sparkling Flavoured Soft Drink | Kombucha Mixed berry | My aloe (Premium aloe vera drink) | Energy Drink
FRANCE|UK_IE|US_CANADA,unknown_beverage_segment,1,Feldschlösschen citron 0.0%
FRANCE|US_CANADA,beverage_preparations_and_alcohol,164,Extra Ginger Beer | All natural caribbean style ginger beer | CREAMY CHOCOLATE MEAL REPLACEMENT SHAKE | Diet Green Tea Citrus | Raspberry Real Brewed Tea | Hot cocoa mix | Préparation à base de lait de coco | Peach green tea | Green tea beverage | Organic toddler milk drink powder
FRANCE|US_CANADA,ready_to_drink_beverages,462,"Unsweet Tea | Light Orange Juice | Seltzer water | White grape 100% juice, white grape | Strawberry flavor ramune soft drink | Ramune Melon | Lychee flavor carbonated soft drink | Kimura ramune watermelon flavor carbonated soft drink | Real coconut water | DOUBLESHOT ENERGY ENERGY COFFEE BEVERAGE"
FRANCE|US_CANADA,unknown_beverage_segment,88,"White Chocolate Mocha | Peach Punch | Tropical carrot | No Calcium OJ | Vanilla Latte | Pure Premium Low Acid No Pulp 100% Pure Orange | Green apple bold & intense thirst quencher | Lemon-lime zero sugar thirst quencher, lemon-lime | THIRST QUENCHER COOL BLUE | Thirst quencher, tangerine"
NORDICS|BENELUX|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,1,
NORDICS|DACH|BENELUX|UK_IE,unknown_beverage_segment,1,Milch Mandel ohne Zucker
NORDICS|DACH|BENELUX|US_CANADA,ready_to_drink_beverages,1,Rudy's Kombucha Mango & Passion Fruit
NORDICS|DACH|UK_IE,beverage_preparations_and_alcohol,1,Ginger Beer
NORDICS|DACH|UK_IE,unknown_beverage_segment,1,Bellarom Gold
NORDICS|DACH|US_CANADA,ready_to_drink_beverages,2,Rudy's Kombucha Mandarin & Yuzu | Rudy's Kombucha Rhubarb
NORDICS|FRANCE,beverage_preparations_and_alcohol,16,Cappuccino choco-blanc | Mojito mocktail alkoholiton | Crème de mûre | Nescafé Gold | Blackcurrant Tea | SIPA | Hot Chocolate | Rooibos karpalo-kerma | Vihreä tee sitruuna | Thé Heaven
NORDICS|FRANCE,ready_to_drink_beverages,36,CTC Ramune 200ML Strawberry Flavor | Naturel flavor soda | Jarritos mangue | Sprite | Cucumber Tonic Water | Monster Energy | Powerade | Coca-Cola Zero | Cherry Coca-Cola | Fanta Exotic
NORDICS|FRANCE,unknown_beverage_segment,12,пшеничная 8 | Blackcurrant Beauty | Denice Kildevand | Sekamehujuoma | Ananas-mandariini juoma | Vital | Kivennäisvesi | Mustikkamehu | Tyrni | Sitruunatee
NORDICS|FRANCE|DACH,beverage_preparations_and_alcohol,7,"Montepulciano D'abruzzo Denominazione Di Origine Protetta 2016 | Ceylon Black Tea | Single Malt Scotch Whisky, | Original Longdrink | Dolce gusto - Chococino - Chocolat en poudre et lait entier en poudre avec sucre | Tee | Twinnings Chai Latte"
NORDICS|FRANCE|DACH,ready_to_drink_beverages,3,Schoko-Drink goody cao 20002961 Kakaohaltiges Getränkepulver | Alpro Mandeldrink Barista 1L | Fanta - Exotic
NORDICS|FRANCE|DACH,unknown_beverage_segment,3,Multi-Vitamin | Solbær
NORDICS|FRANCE|DACH|BENELUX|UK_IE,ready_to_drink_beverages,1,Lychee Flavored Drink with Nata de Coco
NORDICS|FRANCE|DACH|SOUTHERN_EUROPE,unknown_beverage_segment,3,Cassis Schwarze Johannisbeere Sirup | Bar Champagner
NORDICS|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,1,Teriyakisauce
NORDICS|FRANCE|DACH|UK_IE,ready_to_drink_beverages,2,"Alpro Sojadrink, Barista 1L | Coca-Cola Life"
NORDICS|FRANCE|DACH|UK_IE,unknown_beverage_segment,1,"Kokosnussdrink mit Soja, Barista"
NORDICS|FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,Dead Pony Club
NORDICS|FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,Smirnoff Ice
NORDICS|FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Fanta Framboises & Passion
NORDICS|FRANCE|SOUTHERN_EUROPE|BENELUX|DACH|UK_IE,ready_to_drink_beverages,1,Little Sumpin'
NORDICS|FRANCE|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,1,פרנסיסקאנר
NORDICS|FRANCE|UK_IE,ready_to_drink_beverages,2,Almond Breeze Barista Blend | Carbonated Citrus Flavoured Soft Drink
NORDICS|FRANCE|UK_IE|SOUTHERN_EUROPE|BENELUX|DACH,beverage_preparations_and_alcohol,1,Defender IPA
NORDICS|UK_IE,beverage_preparations_and_alcohol,3,"Organic Night Time Berry Herbal Tea | Pukka Night Tea | Aass Uten, akoholfri lys lager"
NORDICS|UK_IE,ready_to_drink_beverages,5,"Monster energy | Reign Orange Dreamsicle, energidrikk | Coca-Cola Intergalactic | Brus pæresmak | Telemark med kullsyre (smak av sitron)"
NORDICS|US_CANADA,beverage_preparations_and_alcohol,1,Calem Fine Tawny Porto
NORDICS|US_CANADA,ready_to_drink_beverages,6,"Foco, 100% pure coconut water with mango | Banana cream | Stuffed mushrooms | Sparkling Snowball Frost Flavour Energy Drink | Zingo Zero Apelsin | Loka Crush Med Smak Av Smultron"
OTHER_MIXED,unknown_beverage_segment,1,Convidado de Baco
SOUTHERN_EUROPE|DACH|UK_IE,beverage_preparations_and_alcohol,2,Pure Camomile | Bière Moretti Zero
SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,32,Jasmine Green Tea | Prosecco | Orange squash | Nescafé classic | Ginger | Premium beer | TETLEY ONE COUP | Tetley Original | Teabags | Morrisons Gold Instant Coffee
SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,39,Orange juice | Bevanda ACE | Acqua minerale naturale | Tangy & Sweet Orange Juice Smooth | Coconut Water | kombucha | Kombucha solevita | Pepsi-cola | Impact | Highland spring
SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,9,Orange | BERRY SET GO | Green glow | Tennesse honey | L'autentica | Naranja Premium Valencia Sin Pulpa | Horchata de chufa | Bavaria Holland
SOUTHERN_EUROPE|UK_IE|US_CANADA,beverage_preparations_and_alcohol,1,Robinsons Orange Squash
SOUTHERN_EUROPE|US_CANADA,beverage_preparations_and_alcohol,13,"Green Tea Citrus | Chocolate powder no sugar added | Organic Coconut Milk Classic Unsweetened | SWISS MISS, milk chocolate, hot cocoa mix | Vanilla Nutrition Shake | Tiger spice decaffeinated chai | Organic Everyday Matcha | non-dairy protein shake | Famous teas - Royal blend | Decaf tea"
SOUTHERN_EUROPE|US_CANADA,ready_to_drink_beverages,45,"100% orange juice with calcium & vitamin d | Diet Pepsi | La Croix sparkling water | 100% juice | Almondmilk | 100% grape juice from concentrate with added ingredients, grape | Coconut juice | Pure Premium Orange Juice Original No Pulp | Triple Ginger Brew | Purified water"
SOUTHERN_EUROPE|US_CANADA,unknown_beverage_segment,6,"Original coconutmilk, original | Cool blue thirst quencher, cool blue | Dark Rich & Sexy | Aloe no sugar added | Elephant vanilla chai | Decaf"
UK_IE,beverage_preparations_and_alcohol,1629,tassimo l'or latte macchiato | tassimo costa latte | London Pride | coconut milk | Alvorada vinho verde | Assam fine tea | Budweiser beer | Spitfire | Vicky's sponge cake | Ground coffee
UK_IE,ready_to_drink_beverages,2572,"pure spring water | Lemonade | Sparkling Spring Water | Coke cola diet | Vita coco water | Pineapple juice | Soya Unsweetened | Apple, watermelon and raspberry juice | Lemonade Juice Drink | Bitter lemon"
UK_IE,unknown_beverage_segment,869,FIX | Apple Pear & Asparagus | Peach Fruit & Barley | hgg | Rejuvenate | 71 no added sugar STILL STRAWBERRY AND Kiwi FLAVOU | Apple&Elderflower | Corsé | Tropical Fruit | Gold decaf
UK_IE|BENELUX,ready_to_drink_beverages,2,Soya Unsweetened plant based | Light Soya
UK_IE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,Decaf Organic Instant Coffee
UK_IE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Dr Aloe flavour Drink
UK_IE|SOUTHERN_EUROPE,unknown_beverage_segment,1,
UK_IE|US_CANADA,beverage_preparations_and_alcohol,10,Prosecco | Lemon & Ginger tea | Turmeric With orange & star anise tea | Coconut Milk | Milk Chocolate Flavor | Malbec | Berry Lemonade YERBA MATE | English breakfast tea | Lemon Juice Concentrate | Traditional Irish Whiskey
UK_IE|US_CANADA,ready_to_drink_beverages,31,"Sierra mist soda | With a splash of mango juice | Cucumber melon sparkling water, cucumber melon | Concord Grape Juice | Naturally & artificially flavored soda made with aged vanilla, root beer | Agua de coco | Soja vanille | Sparkling Water Watermelon Lime | Diet Coke | Sparkling citrus beverage"
UK_IE|US_CANADA,unknown_beverage_segment,7,Seedless raspberries conserve | KULA WATERMELON | Cafe latte | Tropical Lemonaide | Zero Electrolyte Sports tabs | Azera Perky Blenders
US_CANADA,beverage_preparations_and_alcohol,12355,"Lagg's, herbal tea, peppermint | Linden Flowers Tea | Herbal Tea Cinnamon | Lagg's, herbal tea, chamomile * mint | Lagg's, dieter's herbal tea | Lagg's, kidneytea, herbal tea | Whispering Angel | Herbal Tea | Apple cider | Pumpkin pie flavored apple cider drink, pumpkin pie"
US_CANADA,ready_to_drink_beverages,27644,"Organic Coconut Sparkling Spring Water | Sparkling water | Fanta | Smart Water | Minute Maid Zero Sugar Lemonade | Pear Nectar | Spark | 100% Pure Orange Juice from Concentrate | Fuji pom blend juice | Ryan's, Lemonade"
US_CANADA,unknown_beverage_segment,7768,"saint Michel galettes | Vanilla soymilk, vanilla | Watermelon strawberry juic'd right beverage, watermelon strawberry | Rich Chocolate Royale | slim fast | Cayenne spice hot energy | Framboise Rose Gose | Splash | Delicious strawberry moscato | Squeezr sorrel ginger"
US_CANADA|DACH,beverage_preparations_and_alcohol,1,Organic Cacao Powder
US_CANADA|DACH,ready_to_drink_beverages,1,MANGO FLAVORED DRINK WITH NATA DE COCO
US_CANADA|FRANCE,beverage_preparations_and_alcohol,31,Original cranberry cocktail | Cocktail aux canneberges | Grape Flavored Juice Drink from Concentrate | Nesquik sirop chocolat | Nesquik Cocoa | Nesquik | Coconut Milk | 100% Pure Maple Syrup | Bière Bud Light - Limonade Radler | V8 Original Blend - Cocktail aux Légumes
US_CANADA|FRANCE,ready_to_drink_beverages,127,"Coconut Water | Black Raspberry Sparkling Ice | Cherry Limeade Sparkling Ice | Ginger Ale | Milked Hazelnuts Unsweetened | Black Raspberry Sparkling Fruit2O | Original Almond Lactose & Dairy-free | Coconut Beverage, Original | Almond Beverage Vanilla | Almond"
US_CANADA|FRANCE,unknown_beverage_segment,6,Almond | Ocean Spray Diète Canneberges | Fruit Integration | Strawberry Passion Awareness | Orange Flavour Crystals | Cboost
US_CANADA|FRANCE|BENELUX,unknown_beverage_segment,1,Karlsquell
US_CANADA|FRANCE|BENELUX|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,1,
US_CANADA|FRANCE|DACH,beverage_preparations_and_alcohol,6,"Fennel Tea | Sirop De Table (original) | LILLET APÉRITIF Blanc | Camomile Tea | Black Sesame Powder | NESQUIK Poudre Cacaotée boîte 1,3kg"
US_CANADA|FRANCE|DACH,ready_to_drink_beverages,2,Boisson concentrée aux myrtilles - Dryck blåbär | Absinthe Larusée Bleue
US_CANADA|FRANCE|DACH,unknown_beverage_segment,1,Stella Artois 330ml
US_CANADA|FRANCE|DACH|BENELUX|UK_IE,ready_to_drink_beverages,1,Eau minérale naturelle
US_CANADA|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,Fennel Tea
US_CANADA|FRANCE|DACH|UK_IE,beverage_preparations_and_alcohol,2,Coconut Milk | Bière
US_CANADA|FRANCE|DACH|UK_IE,ready_to_drink_beverages,1,Refresh Eau de Noix de Coco
US_CANADA|FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,HOT CHOCOLATE SMOOTH & CREAMY
US_CANADA|FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Bouteille d'eau
US_CANADA|FRANCE|SOUTHERN_EUROPE|BENELUX,beverage_preparations_and_alcohol,2,Vodka Templar Black | Vodka Templar Peach
US_CANADA|FRANCE|SOUTHERN_EUROPE|BENELUX|DACH,beverage_preparations_and_alcohol,2,Vodka Templar Red | Vodka Templar White
US_CANADA|FRANCE|UK_IE,ready_to_drink_beverages,2,Coconut Water | Sidi Ali
US_CANADA|FRANCE|UK_IE,unknown_beverage_segment,1,Hobgoblin
US_CANADA|NORDICS|FRANCE|UK_IE|SOUTHERN_EUROPE|BENELUX|DACH,beverage_preparations_and_alcohol,1,Brooklyn east IPA
US_CANADA|NORDICS|UK_IE,beverage_preparations_and_alcohol,1,Somersby Blueberry Flavoured Cider
US_CANADA|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,Black Tea
US_CANADA|UK_IE,ready_to_drink_beverages,3,Thums Up 300ml can | Mango Drink | Organic Raspberry Lemonade Kombucha
